Function:Linear
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.2785, best part err:0.2785, best swarm err:0.2785
epoch:001 ,particle:02, par err:0.3705, best part err:0.3705, best swarm err:0.2785
epoch:001 ,particle:03, par err:0.3063, best part err:0.3063, best swarm err:0.2785
epoch:001 ,particle:04, par err:0.3036, best part err:0.3036, best swarm err:0.2785
epoch:001 ,particle:05, par err:0.3047, best part err:0.3047, best swarm err:0.2785
epoch:001 ,particle:06, par err:0.3128, best part err:0.3128, best swarm err:0.2785
epoch:001 ,particle:07, par err:0.3468, best part err:0.3468, best swarm err:0.2785
epoch:001 ,particle:08, par err:0.2831, best part err:0.2831, best swarm err:0.2785
epoch:001 ,particle:09, par err:0.3589, best part err:0.3589, best swarm err:0.2785
epoch:001 ,particle:10, par err:0.3243, best part err:0.3243, best swarm err:0.2785
epoch:001 ,particle:11, par err:0.3511, best part err:0.3511, best swarm err:0.2785
epoch:001 ,particle:12, par err:0.3899, best part err:0.3899, best swarm err:0.2785
epoch:001 ,particle:13, par err:0.3306, best part err:0.3306, best swarm err:0.2785
epoch:001 ,particle:14, par err:0.3556, best part err:0.3556, best swarm err:0.2785
epoch:001 ,particle:15, par err:0.3325, best part err:0.3325, best swarm err:0.2785

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.3175, best part err:0.2785, best swarm err:0.1267
epoch:002 ,particle:02, par err:0.1267, best part err:0.1267, best swarm err:0.1267
epoch:002 ,particle:03, par err:0.1669, best part err:0.1669, best swarm err:0.1267
epoch:002 ,particle:04, par err:0.1609, best part err:0.1609, best swarm err:0.1267
epoch:002 ,particle:05, par err:0.2738, best part err:0.2738, best swarm err:0.1267
epoch:002 ,particle:06, par err:0.1435, best part err:0.1435, best swarm err:0.1267
epoch:002 ,particle:07, par err:0.3484, best part err:0.3468, best swarm err:0.1267
epoch:002 ,particle:08, par err:0.1875, best part err:0.1875, best swarm err:0.1267
epoch:002 ,particle:09, par err:0.1454, best part err:0.1454, best swarm err:0.1267
epoch:002 ,particle:10, par err:0.1990, best part err:0.1990, best swarm err:0.1267
epoch:002 ,particle:11, par err:0.2350, best part err:0.2350, best swarm err:0.1267
epoch:002 ,particle:12, par err:0.2137, best part err:0.2137, best swarm err:0.1267
epoch:002 ,particle:13, par err:0.2298, best part err:0.2298, best swarm err:0.1267
epoch:002 ,particle:14, par err:0.1958, best part err:0.1958, best swarm err:0.1267
epoch:002 ,particle:15, par err:0.2235, best part err:0.2235, best swarm err:0.1267

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.0463, best part err:0.0463, best swarm err:0.0051
epoch:003 ,particle:02, par err:0.0051, best part err:0.0051, best swarm err:0.0051
epoch:003 ,particle:03, par err:0.0071, best part err:0.0071, best swarm err:0.0051
epoch:003 ,particle:04, par err:0.0066, best part err:0.0066, best swarm err:0.0051
epoch:003 ,particle:05, par err:0.0151, best part err:0.0151, best swarm err:0.0051
epoch:003 ,particle:06, par err:0.0149, best part err:0.0149, best swarm err:0.0051
epoch:003 ,particle:07, par err:0.3634, best part err:0.3468, best swarm err:0.0051
epoch:003 ,particle:08, par err:0.0141, best part err:0.0141, best swarm err:0.0051
epoch:003 ,particle:09, par err:0.0116, best part err:0.0116, best swarm err:0.0051
epoch:003 ,particle:10, par err:0.0058, best part err:0.0058, best swarm err:0.0051
epoch:003 ,particle:11, par err:0.0086, best part err:0.0086, best swarm err:0.0051
epoch:003 ,particle:12, par err:0.0068, best part err:0.0068, best swarm err:0.0051
epoch:003 ,particle:13, par err:0.0127, best part err:0.0127, best swarm err:0.0051
epoch:003 ,particle:14, par err:0.0062, best part err:0.0062, best swarm err:0.0051
epoch:003 ,particle:15, par err:0.0065, best part err:0.0065, best swarm err:0.0051

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.0709, best part err:0.0463, best swarm err:0.0051
epoch:004 ,particle:02, par err:0.0384, best part err:0.0051, best swarm err:0.0051
epoch:004 ,particle:03, par err:0.0431, best part err:0.0071, best swarm err:0.0051
epoch:004 ,particle:04, par err:0.0270, best part err:0.0066, best swarm err:0.0051
epoch:004 ,particle:05, par err:0.0433, best part err:0.0151, best swarm err:0.0051
epoch:004 ,particle:06, par err:0.0305, best part err:0.0149, best swarm err:0.0051
epoch:004 ,particle:07, par err:0.0744, best part err:0.0744, best swarm err:0.0051
epoch:004 ,particle:08, par err:0.0212, best part err:0.0141, best swarm err:0.0051
epoch:004 ,particle:09, par err:0.0449, best part err:0.0116, best swarm err:0.0051
epoch:004 ,particle:10, par err:0.0735, best part err:0.0058, best swarm err:0.0051
epoch:004 ,particle:11, par err:0.0262, best part err:0.0086, best swarm err:0.0051
epoch:004 ,particle:12, par err:0.0602, best part err:0.0068, best swarm err:0.0051
epoch:004 ,particle:13, par err:0.0435, best part err:0.0127, best swarm err:0.0051
epoch:004 ,particle:14, par err:0.0411, best part err:0.0062, best swarm err:0.0051
epoch:004 ,particle:15, par err:0.0664, best part err:0.0065, best swarm err:0.0051

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.4047, best part err:0.0463, best swarm err:0.0037
epoch:005 ,particle:02, par err:0.1636, best part err:0.0051, best swarm err:0.0037
epoch:005 ,particle:03, par err:0.1999, best part err:0.0071, best swarm err:0.0037
epoch:005 ,particle:04, par err:0.3084, best part err:0.0066, best swarm err:0.0037
epoch:005 ,particle:05, par err:0.6456, best part err:0.0151, best swarm err:0.0037
epoch:005 ,particle:06, par err:0.2665, best part err:0.0149, best swarm err:0.0037
epoch:005 ,particle:07, par err:0.0037, best part err:0.0037, best swarm err:0.0037
epoch:005 ,particle:08, par err:0.4061, best part err:0.0141, best swarm err:0.0037
epoch:005 ,particle:09, par err:0.1641, best part err:0.0116, best swarm err:0.0037
epoch:005 ,particle:10, par err:0.2298, best part err:0.0058, best swarm err:0.0037
epoch:005 ,particle:11, par err:0.5641, best part err:0.0086, best swarm err:0.0037
epoch:005 ,particle:12, par err:0.3488, best part err:0.0068, best swarm err:0.0037
epoch:005 ,particle:13, par err:0.3772, best part err:0.0127, best swarm err:0.0037
epoch:005 ,particle:14, par err:0.2959, best part err:0.0062, best swarm err:0.0037
epoch:005 ,particle:15, par err:0.2740, best part err:0.0065, best swarm err:0.0037

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.0759, best part err:0.0463, best swarm err:0.0037
epoch:006 ,particle:02, par err:0.0303, best part err:0.0051, best swarm err:0.0037
epoch:006 ,particle:03, par err:0.0746, best part err:0.0071, best swarm err:0.0037
epoch:006 ,particle:04, par err:0.0683, best part err:0.0066, best swarm err:0.0037
epoch:006 ,particle:05, par err:0.1176, best part err:0.0151, best swarm err:0.0037
epoch:006 ,particle:06, par err:0.0884, best part err:0.0149, best swarm err:0.0037
epoch:006 ,particle:07, par err:0.0396, best part err:0.0037, best swarm err:0.0037
epoch:006 ,particle:08, par err:0.0900, best part err:0.0141, best swarm err:0.0037
epoch:006 ,particle:09, par err:0.1141, best part err:0.0116, best swarm err:0.0037
epoch:006 ,particle:10, par err:0.0946, best part err:0.0058, best swarm err:0.0037
epoch:006 ,particle:11, par err:0.0730, best part err:0.0086, best swarm err:0.0037
epoch:006 ,particle:12, par err:0.0785, best part err:0.0068, best swarm err:0.0037
epoch:006 ,particle:13, par err:0.0933, best part err:0.0127, best swarm err:0.0037
epoch:006 ,particle:14, par err:0.0783, best part err:0.0062, best swarm err:0.0037
epoch:006 ,particle:15, par err:0.0711, best part err:0.0065, best swarm err:0.0037

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.0293, best part err:0.0293, best swarm err:0.0037
epoch:007 ,particle:02, par err:0.0270, best part err:0.0051, best swarm err:0.0037
epoch:007 ,particle:03, par err:0.0281, best part err:0.0071, best swarm err:0.0037
epoch:007 ,particle:04, par err:0.0272, best part err:0.0066, best swarm err:0.0037
epoch:007 ,particle:05, par err:0.0227, best part err:0.0151, best swarm err:0.0037
epoch:007 ,particle:06, par err:0.0246, best part err:0.0149, best swarm err:0.0037
epoch:007 ,particle:07, par err:0.1051, best part err:0.0037, best swarm err:0.0037
epoch:007 ,particle:08, par err:0.0281, best part err:0.0141, best swarm err:0.0037
epoch:007 ,particle:09, par err:0.0274, best part err:0.0116, best swarm err:0.0037
epoch:007 ,particle:10, par err:0.0214, best part err:0.0058, best swarm err:0.0037
epoch:007 ,particle:11, par err:0.0250, best part err:0.0086, best swarm err:0.0037
epoch:007 ,particle:12, par err:0.0246, best part err:0.0068, best swarm err:0.0037
epoch:007 ,particle:13, par err:0.0235, best part err:0.0127, best swarm err:0.0037
epoch:007 ,particle:14, par err:0.0276, best part err:0.0062, best swarm err:0.0037
epoch:007 ,particle:15, par err:0.0238, best part err:0.0065, best swarm err:0.0037

-------------------------------------------------------------------------------------
