Function:Linear
ANN Hyperparameters: activation function Sigmoid, layer arch [1, 1, 1, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.6137, best part err:0.6137, best swarm err:0.5731
epoch:001 ,particle:02, par err:0.5747, best part err:0.5747, best swarm err:0.5731
epoch:001 ,particle:03, par err:0.6182, best part err:0.6182, best swarm err:0.5731
epoch:001 ,particle:04, par err:0.6191, best part err:0.6191, best swarm err:0.5731
epoch:001 ,particle:05, par err:0.5731, best part err:0.5731, best swarm err:0.5731
epoch:001 ,particle:06, par err:0.6172, best part err:0.6172, best swarm err:0.5731
epoch:001 ,particle:07, par err:0.6115, best part err:0.6115, best swarm err:0.5731
epoch:001 ,particle:08, par err:0.5838, best part err:0.5838, best swarm err:0.5731
epoch:001 ,particle:09, par err:0.6128, best part err:0.6128, best swarm err:0.5731
epoch:001 ,particle:10, par err:0.6124, best part err:0.6124, best swarm err:0.5731
epoch:001 ,particle:11, par err:0.5910, best part err:0.5910, best swarm err:0.5731
epoch:001 ,particle:12, par err:0.5889, best part err:0.5889, best swarm err:0.5731
epoch:001 ,particle:13, par err:0.5794, best part err:0.5794, best swarm err:0.5731
epoch:001 ,particle:14, par err:0.5796, best part err:0.5796, best swarm err:0.5731
epoch:001 ,particle:15, par err:0.5834, best part err:0.5834, best swarm err:0.5731

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.5453, best part err:0.5453, best swarm err:0.5242
epoch:002 ,particle:02, par err:0.5826, best part err:0.5747, best swarm err:0.5242
epoch:002 ,particle:03, par err:0.5688, best part err:0.5688, best swarm err:0.5242
epoch:002 ,particle:04, par err:0.5673, best part err:0.5673, best swarm err:0.5242
epoch:002 ,particle:05, par err:0.5606, best part err:0.5606, best swarm err:0.5242
epoch:002 ,particle:06, par err:0.5614, best part err:0.5614, best swarm err:0.5242
epoch:002 ,particle:07, par err:0.5591, best part err:0.5591, best swarm err:0.5242
epoch:002 ,particle:08, par err:0.5502, best part err:0.5502, best swarm err:0.5242
epoch:002 ,particle:09, par err:0.5242, best part err:0.5242, best swarm err:0.5242
epoch:002 ,particle:10, par err:0.5569, best part err:0.5569, best swarm err:0.5242
epoch:002 ,particle:11, par err:0.5915, best part err:0.5910, best swarm err:0.5242
epoch:002 ,particle:12, par err:0.5673, best part err:0.5673, best swarm err:0.5242
epoch:002 ,particle:13, par err:0.5473, best part err:0.5473, best swarm err:0.5242
epoch:002 ,particle:14, par err:0.5638, best part err:0.5638, best swarm err:0.5242
epoch:002 ,particle:15, par err:0.5854, best part err:0.5834, best swarm err:0.5242

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.4551, best part err:0.4551, best swarm err:0.4541
epoch:003 ,particle:02, par err:0.4981, best part err:0.4981, best swarm err:0.4541
epoch:003 ,particle:03, par err:0.4583, best part err:0.4583, best swarm err:0.4541
epoch:003 ,particle:04, par err:0.4664, best part err:0.4664, best swarm err:0.4541
epoch:003 ,particle:05, par err:0.4928, best part err:0.4928, best swarm err:0.4541
epoch:003 ,particle:06, par err:0.4606, best part err:0.4606, best swarm err:0.4541
epoch:003 ,particle:07, par err:0.4667, best part err:0.4667, best swarm err:0.4541
epoch:003 ,particle:08, par err:0.4807, best part err:0.4807, best swarm err:0.4541
epoch:003 ,particle:09, par err:0.4541, best part err:0.4541, best swarm err:0.4541
epoch:003 ,particle:10, par err:0.4611, best part err:0.4611, best swarm err:0.4541
epoch:003 ,particle:11, par err:0.4828, best part err:0.4828, best swarm err:0.4541
epoch:003 ,particle:12, par err:0.4780, best part err:0.4780, best swarm err:0.4541
epoch:003 ,particle:13, par err:0.4800, best part err:0.4800, best swarm err:0.4541
epoch:003 ,particle:14, par err:0.4853, best part err:0.4853, best swarm err:0.4541
epoch:003 ,particle:15, par err:0.4861, best part err:0.4861, best swarm err:0.4541

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.4049, best part err:0.4049, best swarm err:0.3846
epoch:004 ,particle:02, par err:0.4031, best part err:0.4031, best swarm err:0.3846
epoch:004 ,particle:03, par err:0.3993, best part err:0.3993, best swarm err:0.3846
epoch:004 ,particle:04, par err:0.3948, best part err:0.3948, best swarm err:0.3846
epoch:004 ,particle:05, par err:0.4053, best part err:0.4053, best swarm err:0.3846
epoch:004 ,particle:06, par err:0.3995, best part err:0.3995, best swarm err:0.3846
epoch:004 ,particle:07, par err:0.4015, best part err:0.4015, best swarm err:0.3846
epoch:004 ,particle:08, par err:0.4071, best part err:0.4071, best swarm err:0.3846
epoch:004 ,particle:09, par err:0.4115, best part err:0.4115, best swarm err:0.3846
epoch:004 ,particle:10, par err:0.3997, best part err:0.3997, best swarm err:0.3846
epoch:004 ,particle:11, par err:0.3846, best part err:0.3846, best swarm err:0.3846
epoch:004 ,particle:12, par err:0.4010, best part err:0.4010, best swarm err:0.3846
epoch:004 ,particle:13, par err:0.4090, best part err:0.4090, best swarm err:0.3846
epoch:004 ,particle:14, par err:0.4036, best part err:0.4036, best swarm err:0.3846
epoch:004 ,particle:15, par err:0.3908, best part err:0.3908, best swarm err:0.3846

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.3663, best part err:0.3663, best swarm err:0.3507
epoch:005 ,particle:02, par err:0.3507, best part err:0.3507, best swarm err:0.3507
epoch:005 ,particle:03, par err:0.3671, best part err:0.3671, best swarm err:0.3507
epoch:005 ,particle:04, par err:0.3600, best part err:0.3600, best swarm err:0.3507
epoch:005 ,particle:05, par err:0.3586, best part err:0.3586, best swarm err:0.3507
epoch:005 ,particle:06, par err:0.3587, best part err:0.3587, best swarm err:0.3507
epoch:005 ,particle:07, par err:0.3616, best part err:0.3616, best swarm err:0.3507
epoch:005 ,particle:08, par err:0.3628, best part err:0.3628, best swarm err:0.3507
epoch:005 ,particle:09, par err:0.3609, best part err:0.3609, best swarm err:0.3507
epoch:005 ,particle:10, par err:0.3625, best part err:0.3625, best swarm err:0.3507
epoch:005 ,particle:11, par err:0.3619, best part err:0.3619, best swarm err:0.3507
epoch:005 ,particle:12, par err:0.3630, best part err:0.3630, best swarm err:0.3507
epoch:005 ,particle:13, par err:0.3620, best part err:0.3620, best swarm err:0.3507
epoch:005 ,particle:14, par err:0.3627, best part err:0.3627, best swarm err:0.3507
epoch:005 ,particle:15, par err:0.3594, best part err:0.3594, best swarm err:0.3507

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.3377, best part err:0.3377, best swarm err:0.3352
epoch:006 ,particle:02, par err:0.3352, best part err:0.3352, best swarm err:0.3352
epoch:006 ,particle:03, par err:0.3376, best part err:0.3376, best swarm err:0.3352
epoch:006 ,particle:04, par err:0.3386, best part err:0.3386, best swarm err:0.3352
epoch:006 ,particle:05, par err:0.3371, best part err:0.3371, best swarm err:0.3352
epoch:006 ,particle:06, par err:0.3374, best part err:0.3374, best swarm err:0.3352
epoch:006 ,particle:07, par err:0.3374, best part err:0.3374, best swarm err:0.3352
epoch:006 ,particle:08, par err:0.3375, best part err:0.3375, best swarm err:0.3352
epoch:006 ,particle:09, par err:0.3373, best part err:0.3373, best swarm err:0.3352
epoch:006 ,particle:10, par err:0.3384, best part err:0.3384, best swarm err:0.3352
epoch:006 ,particle:11, par err:0.3418, best part err:0.3418, best swarm err:0.3352
epoch:006 ,particle:12, par err:0.3376, best part err:0.3376, best swarm err:0.3352
epoch:006 ,particle:13, par err:0.3372, best part err:0.3372, best swarm err:0.3352
epoch:006 ,particle:14, par err:0.3375, best part err:0.3375, best swarm err:0.3352
epoch:006 ,particle:15, par err:0.3395, best part err:0.3395, best swarm err:0.3352

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.3330, best part err:0.3330, best swarm err:0.3327
epoch:007 ,particle:02, par err:0.3332, best part err:0.3332, best swarm err:0.3327
epoch:007 ,particle:03, par err:0.3327, best part err:0.3327, best swarm err:0.3327
epoch:007 ,particle:04, par err:0.3331, best part err:0.3331, best swarm err:0.3327
epoch:007 ,particle:05, par err:0.3330, best part err:0.3330, best swarm err:0.3327
epoch:007 ,particle:06, par err:0.3333, best part err:0.3333, best swarm err:0.3327
epoch:007 ,particle:07, par err:0.3330, best part err:0.3330, best swarm err:0.3327
epoch:007 ,particle:08, par err:0.3329, best part err:0.3329, best swarm err:0.3327
epoch:007 ,particle:09, par err:0.3334, best part err:0.3334, best swarm err:0.3327
epoch:007 ,particle:10, par err:0.3331, best part err:0.3331, best swarm err:0.3327
epoch:007 ,particle:11, par err:0.3329, best part err:0.3329, best swarm err:0.3327
epoch:007 ,particle:12, par err:0.3328, best part err:0.3328, best swarm err:0.3327
epoch:007 ,particle:13, par err:0.3330, best part err:0.3330, best swarm err:0.3327
epoch:007 ,particle:14, par err:0.3328, best part err:0.3328, best swarm err:0.3327
epoch:007 ,particle:15, par err:0.3330, best part err:0.3330, best swarm err:0.3327

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.3325, best part err:0.3325, best swarm err:0.3317
