Function:Cubic
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.1172, best part err:0.1172, best swarm err:0.1124
epoch:001 ,particle:02, par err:0.1598, best part err:0.1598, best swarm err:0.1124
epoch:001 ,particle:03, par err:0.1372, best part err:0.1372, best swarm err:0.1124
epoch:001 ,particle:04, par err:0.1524, best part err:0.1524, best swarm err:0.1124
epoch:001 ,particle:05, par err:0.1575, best part err:0.1575, best swarm err:0.1124
epoch:001 ,particle:06, par err:0.1308, best part err:0.1308, best swarm err:0.1124
epoch:001 ,particle:07, par err:0.1564, best part err:0.1564, best swarm err:0.1124
epoch:001 ,particle:08, par err:0.1124, best part err:0.1124, best swarm err:0.1124
epoch:001 ,particle:09, par err:0.1163, best part err:0.1163, best swarm err:0.1124
epoch:001 ,particle:10, par err:0.1415, best part err:0.1415, best swarm err:0.1124
epoch:001 ,particle:11, par err:0.1256, best part err:0.1256, best swarm err:0.1124
epoch:001 ,particle:12, par err:0.1353, best part err:0.1353, best swarm err:0.1124
epoch:001 ,particle:13, par err:0.1583, best part err:0.1583, best swarm err:0.1124
epoch:001 ,particle:14, par err:0.1765, best part err:0.1765, best swarm err:0.1124
epoch:001 ,particle:15, par err:0.1446, best part err:0.1446, best swarm err:0.1124

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.0303, best part err:0.0303, best swarm err:0.0303
epoch:002 ,particle:02, par err:0.1147, best part err:0.1147, best swarm err:0.0303
epoch:002 ,particle:03, par err:0.1572, best part err:0.1372, best swarm err:0.0303
epoch:002 ,particle:04, par err:0.0750, best part err:0.0750, best swarm err:0.0303
epoch:002 ,particle:05, par err:0.0932, best part err:0.0932, best swarm err:0.0303
epoch:002 ,particle:06, par err:0.1250, best part err:0.1250, best swarm err:0.0303
epoch:002 ,particle:07, par err:0.0770, best part err:0.0770, best swarm err:0.0303
epoch:002 ,particle:08, par err:0.0850, best part err:0.0850, best swarm err:0.0303
epoch:002 ,particle:09, par err:0.0707, best part err:0.0707, best swarm err:0.0303
epoch:002 ,particle:10, par err:0.0881, best part err:0.0881, best swarm err:0.0303
epoch:002 ,particle:11, par err:0.0872, best part err:0.0872, best swarm err:0.0303
epoch:002 ,particle:12, par err:0.0344, best part err:0.0344, best swarm err:0.0303
epoch:002 ,particle:13, par err:0.0534, best part err:0.0534, best swarm err:0.0303
epoch:002 ,particle:14, par err:0.0806, best part err:0.0806, best swarm err:0.0303
epoch:002 ,particle:15, par err:0.0942, best part err:0.0942, best swarm err:0.0303

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.2586, best part err:0.0303, best swarm err:0.0303
epoch:003 ,particle:02, par err:0.1760, best part err:0.1147, best swarm err:0.0303
epoch:003 ,particle:03, par err:0.0514, best part err:0.0514, best swarm err:0.0303
epoch:003 ,particle:04, par err:0.1545, best part err:0.0750, best swarm err:0.0303
epoch:003 ,particle:05, par err:0.2443, best part err:0.0932, best swarm err:0.0303
epoch:003 ,particle:06, par err:0.1752, best part err:0.1250, best swarm err:0.0303
epoch:003 ,particle:07, par err:0.1549, best part err:0.0770, best swarm err:0.0303
epoch:003 ,particle:08, par err:0.0530, best part err:0.0530, best swarm err:0.0303
epoch:003 ,particle:09, par err:0.1490, best part err:0.0707, best swarm err:0.0303
epoch:003 ,particle:10, par err:0.1966, best part err:0.0881, best swarm err:0.0303
epoch:003 ,particle:11, par err:0.1107, best part err:0.0872, best swarm err:0.0303
epoch:003 ,particle:12, par err:0.2089, best part err:0.0344, best swarm err:0.0303
epoch:003 ,particle:13, par err:0.2488, best part err:0.0534, best swarm err:0.0303
epoch:003 ,particle:14, par err:0.1285, best part err:0.0806, best swarm err:0.0303
epoch:003 ,particle:15, par err:0.1213, best part err:0.0942, best swarm err:0.0303

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.0895, best part err:0.0303, best swarm err:0.0303
epoch:004 ,particle:02, par err:0.1281, best part err:0.1147, best swarm err:0.0303
epoch:004 ,particle:03, par err:0.0506, best part err:0.0506, best swarm err:0.0303
epoch:004 ,particle:04, par err:0.1545, best part err:0.0750, best swarm err:0.0303
epoch:004 ,particle:05, par err:0.0899, best part err:0.0899, best swarm err:0.0303
epoch:004 ,particle:06, par err:0.1080, best part err:0.1080, best swarm err:0.0303
epoch:004 ,particle:07, par err:0.1768, best part err:0.0770, best swarm err:0.0303
epoch:004 ,particle:08, par err:0.1133, best part err:0.0530, best swarm err:0.0303
epoch:004 ,particle:09, par err:0.1252, best part err:0.0707, best swarm err:0.0303
epoch:004 ,particle:10, par err:0.1397, best part err:0.0881, best swarm err:0.0303
epoch:004 ,particle:11, par err:0.1349, best part err:0.0872, best swarm err:0.0303
epoch:004 ,particle:12, par err:0.1394, best part err:0.0344, best swarm err:0.0303
epoch:004 ,particle:13, par err:0.1090, best part err:0.0534, best swarm err:0.0303
epoch:004 ,particle:14, par err:0.2195, best part err:0.0806, best swarm err:0.0303
epoch:004 ,particle:15, par err:0.1502, best part err:0.0942, best swarm err:0.0303

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.1930, best part err:0.0303, best swarm err:0.0303
epoch:005 ,particle:02, par err:0.0429, best part err:0.0429, best swarm err:0.0303
epoch:005 ,particle:03, par err:0.0327, best part err:0.0327, best swarm err:0.0303
epoch:005 ,particle:04, par err:0.0551, best part err:0.0551, best swarm err:0.0303
epoch:005 ,particle:05, par err:0.1568, best part err:0.0899, best swarm err:0.0303
epoch:005 ,particle:06, par err:0.1157, best part err:0.1080, best swarm err:0.0303
epoch:005 ,particle:07, par err:0.0613, best part err:0.0613, best swarm err:0.0303
epoch:005 ,particle:08, par err:0.0757, best part err:0.0530, best swarm err:0.0303
epoch:005 ,particle:09, par err:0.0630, best part err:0.0630, best swarm err:0.0303
epoch:005 ,particle:10, par err:0.0848, best part err:0.0848, best swarm err:0.0303
epoch:005 ,particle:11, par err:0.0346, best part err:0.0346, best swarm err:0.0303
epoch:005 ,particle:12, par err:0.1455, best part err:0.0344, best swarm err:0.0303
epoch:005 ,particle:13, par err:0.1297, best part err:0.0534, best swarm err:0.0303
epoch:005 ,particle:14, par err:0.0482, best part err:0.0482, best swarm err:0.0303
epoch:005 ,particle:15, par err:0.0356, best part err:0.0356, best swarm err:0.0303

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.0338, best part err:0.0303, best swarm err:0.0303
epoch:006 ,particle:02, par err:0.3196, best part err:0.0429, best swarm err:0.0303
epoch:006 ,particle:03, par err:0.1984, best part err:0.0327, best swarm err:0.0303
epoch:006 ,particle:04, par err:0.2806, best part err:0.0551, best swarm err:0.0303
epoch:006 ,particle:05, par err:0.1498, best part err:0.0899, best swarm err:0.0303
epoch:006 ,particle:06, par err:0.0908, best part err:0.0908, best swarm err:0.0303
epoch:006 ,particle:07, par err:0.2720, best part err:0.0613, best swarm err:0.0303
epoch:006 ,particle:08, par err:0.1365, best part err:0.0530, best swarm err:0.0303
epoch:006 ,particle:09, par err:0.2528, best part err:0.0630, best swarm err:0.0303
epoch:006 ,particle:10, par err:0.3136, best part err:0.0848, best swarm err:0.0303
epoch:006 ,particle:11, par err:0.2320, best part err:0.0346, best swarm err:0.0303
epoch:006 ,particle:12, par err:0.0320, best part err:0.0320, best swarm err:0.0303
epoch:006 ,particle:13, par err:0.0322, best part err:0.0322, best swarm err:0.0303
epoch:006 ,particle:14, par err:0.2337, best part err:0.0482, best swarm err:0.0303
epoch:006 ,particle:15, par err:0.2419, best part err:0.0356, best swarm err:0.0303

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.1314, best part err:0.0303, best swarm err:0.0303
epoch:007 ,particle:02, par err:0.1080, best part err:0.0429, best swarm err:0.0303
epoch:007 ,particle:03, par err:0.0760, best part err:0.0327, best swarm err:0.0303
epoch:007 ,particle:04, par err:0.1506, best part err:0.0551, best swarm err:0.0303
epoch:007 ,particle:05, par err:0.0331, best part err:0.0331, best swarm err:0.0303
epoch:007 ,particle:06, par err:0.2824, best part err:0.0908, best swarm err:0.0303
epoch:007 ,particle:07, par err:0.1979, best part err:0.0613, best swarm err:0.0303
epoch:007 ,particle:08, par err:0.0311, best part err:0.0311, best swarm err:0.0303
epoch:007 ,particle:09, par err:0.1539, best part err:0.0630, best swarm err:0.0303
epoch:007 ,particle:10, par err:0.1708, best part err:0.0848, best swarm err:0.0303
epoch:007 ,particle:11, par err:0.1307, best part err:0.0346, best swarm err:0.0303
epoch:007 ,particle:12, par err:0.0847, best part err:0.0320, best swarm err:0.0303
epoch:007 ,particle:13, par err:0.1112, best part err:0.0322, best swarm err:0.0303
epoch:007 ,particle:14, par err:0.2449, best part err:0.0482, best swarm err:0.0303
epoch:007 ,particle:15, par err:0.1474, best part err:0.0356, best swarm err:0.0303

-------------------------------------------------------------------------------------
