Function:Cubic
ANN Hyperparameters: activation function Sigmoid, layer arch [1, 1, 1, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.4072, best part err:0.4072, best swarm err:0.3751
epoch:001 ,particle:02, par err:0.4173, best part err:0.4173, best swarm err:0.3751
epoch:001 ,particle:03, par err:0.3898, best part err:0.3898, best swarm err:0.3751
epoch:001 ,particle:04, par err:0.4048, best part err:0.4048, best swarm err:0.3751
epoch:001 ,particle:05, par err:0.3840, best part err:0.3840, best swarm err:0.3751
epoch:001 ,particle:06, par err:0.3773, best part err:0.3773, best swarm err:0.3751
epoch:001 ,particle:07, par err:0.4005, best part err:0.4005, best swarm err:0.3751
epoch:001 ,particle:08, par err:0.3751, best part err:0.3751, best swarm err:0.3751
epoch:001 ,particle:09, par err:0.4004, best part err:0.4004, best swarm err:0.3751
epoch:001 ,particle:10, par err:0.3759, best part err:0.3759, best swarm err:0.3751
epoch:001 ,particle:11, par err:0.3895, best part err:0.3895, best swarm err:0.3751
epoch:001 ,particle:12, par err:0.3890, best part err:0.3890, best swarm err:0.3751
epoch:001 ,particle:13, par err:0.4196, best part err:0.4196, best swarm err:0.3751
epoch:001 ,particle:14, par err:0.4195, best part err:0.4195, best swarm err:0.3751
epoch:001 ,particle:15, par err:0.4202, best part err:0.4202, best swarm err:0.3751

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.3466, best part err:0.3466, best swarm err:0.3330
epoch:002 ,particle:02, par err:0.3624, best part err:0.3624, best swarm err:0.3330
epoch:002 ,particle:03, par err:0.3567, best part err:0.3567, best swarm err:0.3330
epoch:002 ,particle:04, par err:0.3707, best part err:0.3707, best swarm err:0.3330
epoch:002 ,particle:05, par err:0.3482, best part err:0.3482, best swarm err:0.3330
epoch:002 ,particle:06, par err:0.3682, best part err:0.3682, best swarm err:0.3330
epoch:002 ,particle:07, par err:0.3415, best part err:0.3415, best swarm err:0.3330
epoch:002 ,particle:08, par err:0.3701, best part err:0.3701, best swarm err:0.3330
epoch:002 ,particle:09, par err:0.3368, best part err:0.3368, best swarm err:0.3330
epoch:002 ,particle:10, par err:0.3712, best part err:0.3712, best swarm err:0.3330
epoch:002 ,particle:11, par err:0.3541, best part err:0.3541, best swarm err:0.3330
epoch:002 ,particle:12, par err:0.3542, best part err:0.3542, best swarm err:0.3330
epoch:002 ,particle:13, par err:0.3614, best part err:0.3614, best swarm err:0.3330
epoch:002 ,particle:14, par err:0.3330, best part err:0.3330, best swarm err:0.3330
epoch:002 ,particle:15, par err:0.3484, best part err:0.3484, best swarm err:0.3330

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.2854, best part err:0.2854, best swarm err:0.2615
epoch:003 ,particle:02, par err:0.2830, best part err:0.2830, best swarm err:0.2615
epoch:003 ,particle:03, par err:0.2930, best part err:0.2930, best swarm err:0.2615
epoch:003 ,particle:04, par err:0.2924, best part err:0.2924, best swarm err:0.2615
epoch:003 ,particle:05, par err:0.2993, best part err:0.2993, best swarm err:0.2615
epoch:003 ,particle:06, par err:0.3051, best part err:0.3051, best swarm err:0.2615
epoch:003 ,particle:07, par err:0.2809, best part err:0.2809, best swarm err:0.2615
epoch:003 ,particle:08, par err:0.3080, best part err:0.3080, best swarm err:0.2615
epoch:003 ,particle:09, par err:0.2854, best part err:0.2854, best swarm err:0.2615
epoch:003 ,particle:10, par err:0.3048, best part err:0.3048, best swarm err:0.2615
epoch:003 ,particle:11, par err:0.2919, best part err:0.2919, best swarm err:0.2615
epoch:003 ,particle:12, par err:0.2927, best part err:0.2927, best swarm err:0.2615
epoch:003 ,particle:13, par err:0.2791, best part err:0.2791, best swarm err:0.2615
epoch:003 ,particle:14, par err:0.2615, best part err:0.2615, best swarm err:0.2615
epoch:003 ,particle:15, par err:0.2646, best part err:0.2646, best swarm err:0.2615

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.2054, best part err:0.2054, best swarm err:0.1963
epoch:004 ,particle:02, par err:0.1963, best part err:0.1963, best swarm err:0.1963
epoch:004 ,particle:03, par err:0.2021, best part err:0.2021, best swarm err:0.1963
epoch:004 ,particle:04, par err:0.1963, best part err:0.1963, best swarm err:0.1963
epoch:004 ,particle:05, par err:0.2061, best part err:0.2061, best swarm err:0.1963
epoch:004 ,particle:06, par err:0.2054, best part err:0.2054, best swarm err:0.1963
epoch:004 ,particle:07, par err:0.2105, best part err:0.2105, best swarm err:0.1963
epoch:004 ,particle:08, par err:0.2034, best part err:0.2034, best swarm err:0.1963
epoch:004 ,particle:09, par err:0.2142, best part err:0.2142, best swarm err:0.1963
epoch:004 ,particle:10, par err:0.2003, best part err:0.2003, best swarm err:0.1963
epoch:004 ,particle:11, par err:0.2099, best part err:0.2099, best swarm err:0.1963
epoch:004 ,particle:12, par err:0.2038, best part err:0.2038, best swarm err:0.1963
epoch:004 ,particle:13, par err:0.2017, best part err:0.2017, best swarm err:0.1963
epoch:004 ,particle:14, par err:0.2093, best part err:0.2093, best swarm err:0.1963
epoch:004 ,particle:15, par err:0.2039, best part err:0.2039, best swarm err:0.1963

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.1524, best part err:0.1524, best swarm err:0.1506
epoch:005 ,particle:02, par err:0.1515, best part err:0.1515, best swarm err:0.1506
epoch:005 ,particle:03, par err:0.1523, best part err:0.1523, best swarm err:0.1506
epoch:005 ,particle:04, par err:0.1506, best part err:0.1506, best swarm err:0.1506
epoch:005 ,particle:05, par err:0.1512, best part err:0.1512, best swarm err:0.1506
epoch:005 ,particle:06, par err:0.1523, best part err:0.1523, best swarm err:0.1506
epoch:005 ,particle:07, par err:0.1576, best part err:0.1576, best swarm err:0.1506
epoch:005 ,particle:08, par err:0.1506, best part err:0.1506, best swarm err:0.1506
epoch:005 ,particle:09, par err:0.1546, best part err:0.1546, best swarm err:0.1506
epoch:005 ,particle:10, par err:0.1530, best part err:0.1530, best swarm err:0.1506
epoch:005 ,particle:11, par err:0.1570, best part err:0.1570, best swarm err:0.1506
epoch:005 ,particle:12, par err:0.1541, best part err:0.1541, best swarm err:0.1506
epoch:005 ,particle:13, par err:0.1551, best part err:0.1551, best swarm err:0.1506
epoch:005 ,particle:14, par err:0.1636, best part err:0.1636, best swarm err:0.1506
epoch:005 ,particle:15, par err:0.1619, best part err:0.1619, best swarm err:0.1506

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.1394, best part err:0.1394, best swarm err:0.1391
epoch:006 ,particle:02, par err:0.1397, best part err:0.1397, best swarm err:0.1391
epoch:006 ,particle:03, par err:0.1401, best part err:0.1401, best swarm err:0.1391
epoch:006 ,particle:04, par err:0.1397, best part err:0.1397, best swarm err:0.1391
epoch:006 ,particle:05, par err:0.1398, best part err:0.1398, best swarm err:0.1391
epoch:006 ,particle:06, par err:0.1393, best part err:0.1393, best swarm err:0.1391
epoch:006 ,particle:07, par err:0.1398, best part err:0.1398, best swarm err:0.1391
epoch:006 ,particle:08, par err:0.1395, best part err:0.1395, best swarm err:0.1391
epoch:006 ,particle:09, par err:0.1396, best part err:0.1396, best swarm err:0.1391
epoch:006 ,particle:10, par err:0.1396, best part err:0.1396, best swarm err:0.1391
epoch:006 ,particle:11, par err:0.1391, best part err:0.1391, best swarm err:0.1391
epoch:006 ,particle:12, par err:0.1398, best part err:0.1398, best swarm err:0.1391
epoch:006 ,particle:13, par err:0.1393, best part err:0.1393, best swarm err:0.1391
epoch:006 ,particle:14, par err:0.1403, best part err:0.1403, best swarm err:0.1391
epoch:006 ,particle:15, par err:0.1401, best part err:0.1401, best swarm err:0.1391

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.1410, best part err:0.1394, best swarm err:0.1391
epoch:007 ,particle:02, par err:0.1410, best part err:0.1397, best swarm err:0.1391
epoch:007 ,particle:03, par err:0.1407, best part err:0.1401, best swarm err:0.1391
epoch:007 ,particle:04, par err:0.1405, best part err:0.1397, best swarm err:0.1391
epoch:007 ,particle:05, par err:0.1405, best part err:0.1398, best swarm err:0.1391
epoch:007 ,particle:06, par err:0.1398, best part err:0.1393, best swarm err:0.1391
epoch:007 ,particle:07, par err:0.1407, best part err:0.1398, best swarm err:0.1391
epoch:007 ,particle:08, par err:0.1400, best part err:0.1395, best swarm err:0.1391
epoch:007 ,particle:09, par err:0.1410, best part err:0.1396, best swarm err:0.1391
epoch:007 ,particle:10, par err:0.1396, best part err:0.1396, best swarm err:0.1391
epoch:007 ,particle:11, par err:0.1398, best part err:0.1391, best swarm err:0.1391
epoch:007 ,particle:12, par err:0.1402, best part err:0.1398, best swarm err:0.1391
epoch:007 ,particle:13, par err:0.1406, best part err:0.1393, best swarm err:0.1391
epoch:007 ,particle:14, par err:0.1411, best part err:0.1403, best swarm err:0.1391
epoch:007 ,particle:15, par err:0.1410, best part err:0.1401, best swarm err:0.1391

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.1592, best part err:0.1394, best swarm err:0.1385
