Function:Sine
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 7, 1]
PSO Hyperparameters: swarm size20, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs50
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.5142, best part err:0.5142, best swarm err:0.4856
epoch:001 ,particle:02, par err:0.4935, best part err:0.4935, best swarm err:0.4856
epoch:001 ,particle:03, par err:0.5035, best part err:0.5035, best swarm err:0.4856
epoch:001 ,particle:04, par err:0.5461, best part err:0.5461, best swarm err:0.4856
epoch:001 ,particle:05, par err:0.4981, best part err:0.4981, best swarm err:0.4856
epoch:001 ,particle:06, par err:0.5021, best part err:0.5021, best swarm err:0.4856
epoch:001 ,particle:07, par err:0.4935, best part err:0.4935, best swarm err:0.4856
epoch:001 ,particle:08, par err:0.5227, best part err:0.5227, best swarm err:0.4856
epoch:001 ,particle:09, par err:0.5076, best part err:0.5076, best swarm err:0.4856
epoch:001 ,particle:10, par err:0.4993, best part err:0.4993, best swarm err:0.4856
epoch:001 ,particle:11, par err:0.5042, best part err:0.5042, best swarm err:0.4856
epoch:001 ,particle:12, par err:0.4856, best part err:0.4856, best swarm err:0.4856
epoch:001 ,particle:13, par err:0.5057, best part err:0.5057, best swarm err:0.4856
epoch:001 ,particle:14, par err:0.5126, best part err:0.5126, best swarm err:0.4856
epoch:001 ,particle:15, par err:0.5022, best part err:0.5022, best swarm err:0.4856
epoch:001 ,particle:16, par err:0.5135, best part err:0.5135, best swarm err:0.4856
epoch:001 ,particle:17, par err:0.5124, best part err:0.5124, best swarm err:0.4856
epoch:001 ,particle:18, par err:0.5050, best part err:0.5050, best swarm err:0.4856
epoch:001 ,particle:19, par err:0.4963, best part err:0.4963, best swarm err:0.4856
epoch:001 ,particle:20, par err:0.4972, best part err:0.4972, best swarm err:0.4856

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.3529, best part err:0.3529, best swarm err:0.3166
epoch:002 ,particle:02, par err:0.5157, best part err:0.4935, best swarm err:0.3166
epoch:002 ,particle:03, par err:0.4668, best part err:0.4668, best swarm err:0.3166
epoch:002 ,particle:04, par err:0.4497, best part err:0.4497, best swarm err:0.3166
epoch:002 ,particle:05, par err:0.3277, best part err:0.3277, best swarm err:0.3166
epoch:002 ,particle:06, par err:0.3660, best part err:0.3660, best swarm err:0.3166
epoch:002 ,particle:07, par err:0.3166, best part err:0.3166, best swarm err:0.3166
epoch:002 ,particle:08, par err:0.4039, best part err:0.4039, best swarm err:0.3166
epoch:002 ,particle:09, par err:0.4125, best part err:0.4125, best swarm err:0.3166
epoch:002 ,particle:10, par err:0.4279, best part err:0.4279, best swarm err:0.3166
epoch:002 ,particle:11, par err:0.3528, best part err:0.3528, best swarm err:0.3166
epoch:002 ,particle:12, par err:0.5411, best part err:0.4856, best swarm err:0.3166
epoch:002 ,particle:13, par err:0.4452, best part err:0.4452, best swarm err:0.3166
epoch:002 ,particle:14, par err:0.4100, best part err:0.4100, best swarm err:0.3166
epoch:002 ,particle:15, par err:0.3688, best part err:0.3688, best swarm err:0.3166
epoch:002 ,particle:16, par err:0.4165, best part err:0.4165, best swarm err:0.3166
epoch:002 ,particle:17, par err:0.4427, best part err:0.4427, best swarm err:0.3166
epoch:002 ,particle:18, par err:0.5087, best part err:0.5050, best swarm err:0.3166
epoch:002 ,particle:19, par err:0.5487, best part err:0.4963, best swarm err:0.3166
epoch:002 ,particle:20, par err:0.3228, best part err:0.3228, best swarm err:0.3166

-------------------------------------------------------------------------------------
