Function:Sine
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.5201, best part err:0.5201, best swarm err:0.4461
epoch:001 ,particle:02, par err:0.5344, best part err:0.5344, best swarm err:0.4461
epoch:001 ,particle:03, par err:0.4641, best part err:0.4641, best swarm err:0.4461
epoch:001 ,particle:04, par err:0.5283, best part err:0.5283, best swarm err:0.4461
epoch:001 ,particle:05, par err:0.4997, best part err:0.4997, best swarm err:0.4461
epoch:001 ,particle:06, par err:0.4498, best part err:0.4498, best swarm err:0.4461
epoch:001 ,particle:07, par err:0.5026, best part err:0.5026, best swarm err:0.4461
epoch:001 ,particle:08, par err:0.5321, best part err:0.5321, best swarm err:0.4461
epoch:001 ,particle:09, par err:0.5092, best part err:0.5092, best swarm err:0.4461
epoch:001 ,particle:10, par err:0.5586, best part err:0.5586, best swarm err:0.4461
epoch:001 ,particle:11, par err:0.4604, best part err:0.4604, best swarm err:0.4461
epoch:001 ,particle:12, par err:0.4461, best part err:0.4461, best swarm err:0.4461
epoch:001 ,particle:13, par err:0.5514, best part err:0.5514, best swarm err:0.4461
epoch:001 ,particle:14, par err:0.4977, best part err:0.4977, best swarm err:0.4461
epoch:001 ,particle:15, par err:0.5158, best part err:0.5158, best swarm err:0.4461

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.4017, best part err:0.4017, best swarm err:0.2415
epoch:002 ,particle:02, par err:0.3031, best part err:0.3031, best swarm err:0.2415
epoch:002 ,particle:03, par err:0.3362, best part err:0.3362, best swarm err:0.2415
epoch:002 ,particle:04, par err:0.2757, best part err:0.2757, best swarm err:0.2415
epoch:002 ,particle:05, par err:0.3972, best part err:0.3972, best swarm err:0.2415
epoch:002 ,particle:06, par err:0.3073, best part err:0.3073, best swarm err:0.2415
epoch:002 ,particle:07, par err:0.4094, best part err:0.4094, best swarm err:0.2415
epoch:002 ,particle:08, par err:0.3128, best part err:0.3128, best swarm err:0.2415
epoch:002 ,particle:09, par err:0.4638, best part err:0.4638, best swarm err:0.2415
epoch:002 ,particle:10, par err:0.3901, best part err:0.3901, best swarm err:0.2415
epoch:002 ,particle:11, par err:0.2415, best part err:0.2415, best swarm err:0.2415
epoch:002 ,particle:12, par err:0.5034, best part err:0.4461, best swarm err:0.2415
epoch:002 ,particle:13, par err:0.4161, best part err:0.4161, best swarm err:0.2415
epoch:002 ,particle:14, par err:0.3309, best part err:0.3309, best swarm err:0.2415
epoch:002 ,particle:15, par err:0.3251, best part err:0.3251, best swarm err:0.2415

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.1021, best part err:0.1021, best swarm err:0.0982
epoch:003 ,particle:02, par err:0.1009, best part err:0.1009, best swarm err:0.0982
epoch:003 ,particle:03, par err:0.1010, best part err:0.1010, best swarm err:0.0982
epoch:003 ,particle:04, par err:0.1034, best part err:0.1034, best swarm err:0.0982
epoch:003 ,particle:05, par err:0.1164, best part err:0.1164, best swarm err:0.0982
epoch:003 ,particle:06, par err:0.0996, best part err:0.0996, best swarm err:0.0982
epoch:003 ,particle:07, par err:0.1153, best part err:0.1153, best swarm err:0.0982
epoch:003 ,particle:08, par err:0.1154, best part err:0.1154, best swarm err:0.0982
epoch:003 ,particle:09, par err:0.1130, best part err:0.1130, best swarm err:0.0982
epoch:003 ,particle:10, par err:0.1075, best part err:0.1075, best swarm err:0.0982
epoch:003 ,particle:11, par err:0.0982, best part err:0.0982, best swarm err:0.0982
epoch:003 ,particle:12, par err:0.1346, best part err:0.1346, best swarm err:0.0982
epoch:003 ,particle:13, par err:0.1165, best part err:0.1165, best swarm err:0.0982
epoch:003 ,particle:14, par err:0.1161, best part err:0.1161, best swarm err:0.0982
epoch:003 ,particle:15, par err:0.1028, best part err:0.1028, best swarm err:0.0982

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.1263, best part err:0.1021, best swarm err:0.0982
epoch:004 ,particle:02, par err:0.1155, best part err:0.1009, best swarm err:0.0982
epoch:004 ,particle:03, par err:0.1200, best part err:0.1010, best swarm err:0.0982
epoch:004 ,particle:04, par err:0.1105, best part err:0.1034, best swarm err:0.0982
epoch:004 ,particle:05, par err:0.1244, best part err:0.1164, best swarm err:0.0982
epoch:004 ,particle:06, par err:0.1188, best part err:0.0996, best swarm err:0.0982
epoch:004 ,particle:07, par err:0.1168, best part err:0.1153, best swarm err:0.0982
epoch:004 ,particle:08, par err:0.1186, best part err:0.1154, best swarm err:0.0982
epoch:004 ,particle:09, par err:0.1166, best part err:0.1130, best swarm err:0.0982
epoch:004 ,particle:10, par err:0.1219, best part err:0.1075, best swarm err:0.0982
epoch:004 ,particle:11, par err:0.1133, best part err:0.0982, best swarm err:0.0982
epoch:004 ,particle:12, par err:0.1258, best part err:0.1258, best swarm err:0.0982
epoch:004 ,particle:13, par err:0.1215, best part err:0.1165, best swarm err:0.0982
epoch:004 ,particle:14, par err:0.1183, best part err:0.1161, best swarm err:0.0982
epoch:004 ,particle:15, par err:0.1178, best part err:0.1028, best swarm err:0.0982

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.4277, best part err:0.1021, best swarm err:0.0982
epoch:005 ,particle:02, par err:0.4205, best part err:0.1009, best swarm err:0.0982
epoch:005 ,particle:03, par err:0.3940, best part err:0.1010, best swarm err:0.0982
epoch:005 ,particle:04, par err:0.4073, best part err:0.1034, best swarm err:0.0982
epoch:005 ,particle:05, par err:0.4198, best part err:0.1164, best swarm err:0.0982
epoch:005 ,particle:06, par err:0.3483, best part err:0.0996, best swarm err:0.0982
epoch:005 ,particle:07, par err:0.6259, best part err:0.1153, best swarm err:0.0982
epoch:005 ,particle:08, par err:0.3502, best part err:0.1154, best swarm err:0.0982
epoch:005 ,particle:09, par err:0.7410, best part err:0.1130, best swarm err:0.0982
epoch:005 ,particle:10, par err:0.4892, best part err:0.1075, best swarm err:0.0982
epoch:005 ,particle:11, par err:0.3046, best part err:0.0982, best swarm err:0.0982
epoch:005 ,particle:12, par err:0.1130, best part err:0.1130, best swarm err:0.0982
epoch:005 ,particle:13, par err:0.5080, best part err:0.1165, best swarm err:0.0982
epoch:005 ,particle:14, par err:0.3685, best part err:0.1161, best swarm err:0.0982
epoch:005 ,particle:15, par err:0.4213, best part err:0.1028, best swarm err:0.0982

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.1141, best part err:0.1021, best swarm err:0.0982
epoch:006 ,particle:02, par err:0.1083, best part err:0.1009, best swarm err:0.0982
epoch:006 ,particle:03, par err:0.1110, best part err:0.1010, best swarm err:0.0982
epoch:006 ,particle:04, par err:0.1012, best part err:0.1012, best swarm err:0.0982
epoch:006 ,particle:05, par err:0.1073, best part err:0.1073, best swarm err:0.0982
epoch:006 ,particle:06, par err:0.1129, best part err:0.0996, best swarm err:0.0982
epoch:006 ,particle:07, par err:0.1041, best part err:0.1041, best swarm err:0.0982
epoch:006 ,particle:08, par err:0.1034, best part err:0.1034, best swarm err:0.0982
epoch:006 ,particle:09, par err:0.1038, best part err:0.1038, best swarm err:0.0982
epoch:006 ,particle:10, par err:0.1091, best part err:0.1075, best swarm err:0.0982
epoch:006 ,particle:11, par err:0.1075, best part err:0.0982, best swarm err:0.0982
epoch:006 ,particle:12, par err:0.2274, best part err:0.1130, best swarm err:0.0982
epoch:006 ,particle:13, par err:0.1058, best part err:0.1058, best swarm err:0.0982
epoch:006 ,particle:14, par err:0.1034, best part err:0.1034, best swarm err:0.0982
epoch:006 ,particle:15, par err:0.1092, best part err:0.1028, best swarm err:0.0982

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.0976, best part err:0.0976, best swarm err:0.0973
epoch:007 ,particle:02, par err:0.0974, best part err:0.0974, best swarm err:0.0973
epoch:007 ,particle:03, par err:0.0975, best part err:0.0975, best swarm err:0.0973
epoch:007 ,particle:04, par err:0.1242, best part err:0.1012, best swarm err:0.0973
epoch:007 ,particle:05, par err:0.1452, best part err:0.1073, best swarm err:0.0973
epoch:007 ,particle:06, par err:0.0974, best part err:0.0974, best swarm err:0.0973
epoch:007 ,particle:07, par err:0.1341, best part err:0.1041, best swarm err:0.0973
epoch:007 ,particle:08, par err:0.1386, best part err:0.1034, best swarm err:0.0973
epoch:007 ,particle:09, par err:0.1336, best part err:0.1038, best swarm err:0.0973
epoch:007 ,particle:10, par err:0.0974, best part err:0.0974, best swarm err:0.0973
epoch:007 ,particle:11, par err:0.0973, best part err:0.0973, best swarm err:0.0973
epoch:007 ,particle:12, par err:0.1412, best part err:0.1130, best swarm err:0.0973
epoch:007 ,particle:13, par err:0.1413, best part err:0.1058, best swarm err:0.0973
epoch:007 ,particle:14, par err:0.1385, best part err:0.1034, best swarm err:0.0973
epoch:007 ,particle:15, par err:0.0975, best part err:0.0975, best swarm err:0.0973

-------------------------------------------------------------------------------------
