Function:Sine
ANN Hyperparameters: activation function Sigmoid, layer arch [1, 1, 1, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.7559, best part err:0.7559, best swarm err:0.7336
epoch:001 ,particle:02, par err:0.7443, best part err:0.7443, best swarm err:0.7336
epoch:001 ,particle:03, par err:0.7806, best part err:0.7806, best swarm err:0.7336
epoch:001 ,particle:04, par err:0.7336, best part err:0.7336, best swarm err:0.7336
epoch:001 ,particle:05, par err:0.7608, best part err:0.7608, best swarm err:0.7336
epoch:001 ,particle:06, par err:0.7855, best part err:0.7855, best swarm err:0.7336
epoch:001 ,particle:07, par err:0.7674, best part err:0.7674, best swarm err:0.7336
epoch:001 ,particle:08, par err:0.7359, best part err:0.7359, best swarm err:0.7336
epoch:001 ,particle:09, par err:0.7422, best part err:0.7422, best swarm err:0.7336
epoch:001 ,particle:10, par err:0.7359, best part err:0.7359, best swarm err:0.7336
epoch:001 ,particle:11, par err:0.7745, best part err:0.7745, best swarm err:0.7336
epoch:001 ,particle:12, par err:0.7595, best part err:0.7595, best swarm err:0.7336
epoch:001 ,particle:13, par err:0.7430, best part err:0.7430, best swarm err:0.7336
epoch:001 ,particle:14, par err:0.7560, best part err:0.7560, best swarm err:0.7336
epoch:001 ,particle:15, par err:0.7562, best part err:0.7562, best swarm err:0.7336

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.7350, best part err:0.7350, best swarm err:0.6969
epoch:002 ,particle:02, par err:0.7513, best part err:0.7443, best swarm err:0.6969
epoch:002 ,particle:03, par err:0.7229, best part err:0.7229, best swarm err:0.6969
epoch:002 ,particle:04, par err:0.7329, best part err:0.7329, best swarm err:0.6969
epoch:002 ,particle:05, par err:0.7225, best part err:0.7225, best swarm err:0.6969
epoch:002 ,particle:06, par err:0.7247, best part err:0.7247, best swarm err:0.6969
epoch:002 ,particle:07, par err:0.7038, best part err:0.7038, best swarm err:0.6969
epoch:002 ,particle:08, par err:0.7088, best part err:0.7088, best swarm err:0.6969
epoch:002 ,particle:09, par err:0.7094, best part err:0.7094, best swarm err:0.6969
epoch:002 ,particle:10, par err:0.7376, best part err:0.7359, best swarm err:0.6969
epoch:002 ,particle:11, par err:0.6969, best part err:0.6969, best swarm err:0.6969
epoch:002 ,particle:12, par err:0.7230, best part err:0.7230, best swarm err:0.6969
epoch:002 ,particle:13, par err:0.7448, best part err:0.7430, best swarm err:0.6969
epoch:002 ,particle:14, par err:0.7338, best part err:0.7338, best swarm err:0.6969
epoch:002 ,particle:15, par err:0.6998, best part err:0.6998, best swarm err:0.6969

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.6621, best part err:0.6621, best swarm err:0.6382
epoch:003 ,particle:02, par err:0.6503, best part err:0.6503, best swarm err:0.6382
epoch:003 ,particle:03, par err:0.6443, best part err:0.6443, best swarm err:0.6382
epoch:003 ,particle:04, par err:0.6748, best part err:0.6748, best swarm err:0.6382
epoch:003 ,particle:05, par err:0.6564, best part err:0.6564, best swarm err:0.6382
epoch:003 ,particle:06, par err:0.6509, best part err:0.6509, best swarm err:0.6382
epoch:003 ,particle:07, par err:0.6492, best part err:0.6492, best swarm err:0.6382
epoch:003 ,particle:08, par err:0.6728, best part err:0.6728, best swarm err:0.6382
epoch:003 ,particle:09, par err:0.6694, best part err:0.6694, best swarm err:0.6382
epoch:003 ,particle:10, par err:0.6682, best part err:0.6682, best swarm err:0.6382
epoch:003 ,particle:11, par err:0.6382, best part err:0.6382, best swarm err:0.6382
epoch:003 ,particle:12, par err:0.6543, best part err:0.6543, best swarm err:0.6382
epoch:003 ,particle:13, par err:0.6602, best part err:0.6602, best swarm err:0.6382
epoch:003 ,particle:14, par err:0.6663, best part err:0.6663, best swarm err:0.6382
epoch:003 ,particle:15, par err:0.6560, best part err:0.6560, best swarm err:0.6382

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.5829, best part err:0.5829, best swarm err:0.5668
epoch:004 ,particle:02, par err:0.5668, best part err:0.5668, best swarm err:0.5668
epoch:004 ,particle:03, par err:0.5829, best part err:0.5829, best swarm err:0.5668
epoch:004 ,particle:04, par err:0.5870, best part err:0.5870, best swarm err:0.5668
epoch:004 ,particle:05, par err:0.5863, best part err:0.5863, best swarm err:0.5668
epoch:004 ,particle:06, par err:0.5809, best part err:0.5809, best swarm err:0.5668
epoch:004 ,particle:07, par err:0.5949, best part err:0.5949, best swarm err:0.5668
epoch:004 ,particle:08, par err:0.5962, best part err:0.5962, best swarm err:0.5668
epoch:004 ,particle:09, par err:0.5945, best part err:0.5945, best swarm err:0.5668
epoch:004 ,particle:10, par err:0.5794, best part err:0.5794, best swarm err:0.5668
epoch:004 ,particle:11, par err:0.5970, best part err:0.5970, best swarm err:0.5668
epoch:004 ,particle:12, par err:0.5854, best part err:0.5854, best swarm err:0.5668
epoch:004 ,particle:13, par err:0.5744, best part err:0.5744, best swarm err:0.5668
epoch:004 ,particle:14, par err:0.5805, best part err:0.5805, best swarm err:0.5668
epoch:004 ,particle:15, par err:0.5988, best part err:0.5988, best swarm err:0.5668

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.5341, best part err:0.5341, best swarm err:0.5303
epoch:005 ,particle:02, par err:0.5370, best part err:0.5370, best swarm err:0.5303
epoch:005 ,particle:03, par err:0.5383, best part err:0.5383, best swarm err:0.5303
epoch:005 ,particle:04, par err:0.5304, best part err:0.5304, best swarm err:0.5303
epoch:005 ,particle:05, par err:0.5306, best part err:0.5306, best swarm err:0.5303
epoch:005 ,particle:06, par err:0.5363, best part err:0.5363, best swarm err:0.5303
epoch:005 ,particle:07, par err:0.5341, best part err:0.5341, best swarm err:0.5303
epoch:005 ,particle:08, par err:0.5303, best part err:0.5303, best swarm err:0.5303
epoch:005 ,particle:09, par err:0.5320, best part err:0.5320, best swarm err:0.5303
epoch:005 ,particle:10, par err:0.5324, best part err:0.5324, best swarm err:0.5303
epoch:005 ,particle:11, par err:0.5365, best part err:0.5365, best swarm err:0.5303
epoch:005 ,particle:12, par err:0.5361, best part err:0.5361, best swarm err:0.5303
epoch:005 ,particle:13, par err:0.5328, best part err:0.5328, best swarm err:0.5303
epoch:005 ,particle:14, par err:0.5321, best part err:0.5321, best swarm err:0.5303
epoch:005 ,particle:15, par err:0.5364, best part err:0.5364, best swarm err:0.5303

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.5121, best part err:0.5121, best swarm err:0.5114
epoch:006 ,particle:02, par err:0.5217, best part err:0.5217, best swarm err:0.5114
epoch:006 ,particle:03, par err:0.5124, best part err:0.5124, best swarm err:0.5114
epoch:006 ,particle:04, par err:0.5132, best part err:0.5132, best swarm err:0.5114
epoch:006 ,particle:05, par err:0.5115, best part err:0.5115, best swarm err:0.5114
epoch:006 ,particle:06, par err:0.5138, best part err:0.5138, best swarm err:0.5114
epoch:006 ,particle:07, par err:0.5123, best part err:0.5123, best swarm err:0.5114
epoch:006 ,particle:08, par err:0.5132, best part err:0.5132, best swarm err:0.5114
epoch:006 ,particle:09, par err:0.5124, best part err:0.5124, best swarm err:0.5114
epoch:006 ,particle:10, par err:0.5144, best part err:0.5144, best swarm err:0.5114
epoch:006 ,particle:11, par err:0.5125, best part err:0.5125, best swarm err:0.5114
epoch:006 ,particle:12, par err:0.5126, best part err:0.5126, best swarm err:0.5114
epoch:006 ,particle:13, par err:0.5139, best part err:0.5139, best swarm err:0.5114
epoch:006 ,particle:14, par err:0.5147, best part err:0.5147, best swarm err:0.5114
epoch:006 ,particle:15, par err:0.5114, best part err:0.5114, best swarm err:0.5114

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.5064, best part err:0.5064, best swarm err:0.5063
epoch:007 ,particle:02, par err:0.5063, best part err:0.5063, best swarm err:0.5063
epoch:007 ,particle:03, par err:0.5063, best part err:0.5063, best swarm err:0.5063
epoch:007 ,particle:04, par err:0.5071, best part err:0.5071, best swarm err:0.5063
epoch:007 ,particle:05, par err:0.5075, best part err:0.5075, best swarm err:0.5063
epoch:007 ,particle:06, par err:0.5065, best part err:0.5065, best swarm err:0.5063
epoch:007 ,particle:07, par err:0.5073, best part err:0.5073, best swarm err:0.5063
epoch:007 ,particle:08, par err:0.5073, best part err:0.5073, best swarm err:0.5063
epoch:007 ,particle:09, par err:0.5069, best part err:0.5069, best swarm err:0.5063
epoch:007 ,particle:10, par err:0.5067, best part err:0.5067, best swarm err:0.5063
epoch:007 ,particle:11, par err:0.5075, best part err:0.5075, best swarm err:0.5063
epoch:007 ,particle:12, par err:0.5064, best part err:0.5064, best swarm err:0.5063
epoch:007 ,particle:13, par err:0.5069, best part err:0.5069, best swarm err:0.5063
epoch:007 ,particle:14, par err:0.5069, best part err:0.5069, best swarm err:0.5063
epoch:007 ,particle:15, par err:0.5066, best part err:0.5066, best swarm err:0.5063

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.5061, best part err:0.5061, best swarm err:0.5057
