Function:TanH
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 10, 8, 1]
PSO Hyperparameters: swarm size15, inertia weight1.4, cognitive weight0.4, social weight2.4, epochs50
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.9087, best part err:0.9087, best swarm err:0.8542
epoch:001 ,particle:02, par err:0.9615, best part err:0.9615, best swarm err:0.8542
epoch:001 ,particle:03, par err:0.9274, best part err:0.9274, best swarm err:0.8542
epoch:001 ,particle:04, par err:0.9168, best part err:0.9168, best swarm err:0.8542
epoch:001 ,particle:05, par err:0.8542, best part err:0.8542, best swarm err:0.8542
epoch:001 ,particle:06, par err:0.9531, best part err:0.9531, best swarm err:0.8542
epoch:001 ,particle:07, par err:0.8703, best part err:0.8703, best swarm err:0.8542
epoch:001 ,particle:08, par err:0.9046, best part err:0.9046, best swarm err:0.8542
epoch:001 ,particle:09, par err:0.8870, best part err:0.8870, best swarm err:0.8542
epoch:001 ,particle:10, par err:0.8886, best part err:0.8886, best swarm err:0.8542
epoch:001 ,particle:11, par err:0.9226, best part err:0.9226, best swarm err:0.8542
epoch:001 ,particle:12, par err:0.8773, best part err:0.8773, best swarm err:0.8542
epoch:001 ,particle:13, par err:0.9173, best part err:0.9173, best swarm err:0.8542
epoch:001 ,particle:14, par err:0.8974, best part err:0.8974, best swarm err:0.8542
epoch:001 ,particle:15, par err:0.8891, best part err:0.8891, best swarm err:0.8542

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:1.3378, best part err:0.9087, best swarm err:0.1180
epoch:002 ,particle:02, par err:1.1073, best part err:0.9615, best swarm err:0.1180
epoch:002 ,particle:03, par err:0.1588, best part err:0.1588, best swarm err:0.1180
epoch:002 ,particle:04, par err:0.1180, best part err:0.1180, best swarm err:0.1180
epoch:002 ,particle:05, par err:1.0523, best part err:0.8542, best swarm err:0.1180
epoch:002 ,particle:06, par err:0.1412, best part err:0.1412, best swarm err:0.1180
epoch:002 ,particle:07, par err:0.4538, best part err:0.4538, best swarm err:0.1180
epoch:002 ,particle:08, par err:0.9367, best part err:0.9046, best swarm err:0.1180
epoch:002 ,particle:09, par err:0.4230, best part err:0.4230, best swarm err:0.1180
epoch:002 ,particle:10, par err:1.1852, best part err:0.8886, best swarm err:0.1180
epoch:002 ,particle:11, par err:0.3429, best part err:0.3429, best swarm err:0.1180
epoch:002 ,particle:12, par err:0.6665, best part err:0.6665, best swarm err:0.1180
epoch:002 ,particle:13, par err:1.1051, best part err:0.9173, best swarm err:0.1180
epoch:002 ,particle:14, par err:0.8409, best part err:0.8409, best swarm err:0.1180
epoch:002 ,particle:15, par err:0.3167, best part err:0.3167, best swarm err:0.1180

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.0087, best part err:0.0087, best swarm err:0.0025
epoch:003 ,particle:02, par err:0.0040, best part err:0.0040, best swarm err:0.0025
epoch:003 ,particle:03, par err:0.0161, best part err:0.0161, best swarm err:0.0025
epoch:003 ,particle:04, par err:0.0158, best part err:0.0158, best swarm err:0.0025
epoch:003 ,particle:05, par err:0.0025, best part err:0.0025, best swarm err:0.0025
epoch:003 ,particle:06, par err:0.0123, best part err:0.0123, best swarm err:0.0025
epoch:003 ,particle:07, par err:0.0133, best part err:0.0133, best swarm err:0.0025
epoch:003 ,particle:08, par err:0.0093, best part err:0.0093, best swarm err:0.0025
epoch:003 ,particle:09, par err:0.0096, best part err:0.0096, best swarm err:0.0025
epoch:003 ,particle:10, par err:0.0072, best part err:0.0072, best swarm err:0.0025
epoch:003 ,particle:11, par err:0.0131, best part err:0.0131, best swarm err:0.0025
epoch:003 ,particle:12, par err:0.0145, best part err:0.0145, best swarm err:0.0025
epoch:003 ,particle:13, par err:0.0072, best part err:0.0072, best swarm err:0.0025
epoch:003 ,particle:14, par err:0.0151, best part err:0.0151, best swarm err:0.0025
epoch:003 ,particle:15, par err:0.0110, best part err:0.0110, best swarm err:0.0025

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.0276, best part err:0.0087, best swarm err:0.0025
epoch:004 ,particle:02, par err:0.0166, best part err:0.0040, best swarm err:0.0025
epoch:004 ,particle:03, par err:0.0277, best part err:0.0161, best swarm err:0.0025
epoch:004 ,particle:04, par err:0.0250, best part err:0.0158, best swarm err:0.0025
epoch:004 ,particle:05, par err:0.0282, best part err:0.0025, best swarm err:0.0025
epoch:004 ,particle:06, par err:0.0276, best part err:0.0123, best swarm err:0.0025
epoch:004 ,particle:07, par err:0.0272, best part err:0.0133, best swarm err:0.0025
epoch:004 ,particle:08, par err:0.0286, best part err:0.0093, best swarm err:0.0025
epoch:004 ,particle:09, par err:0.0286, best part err:0.0096, best swarm err:0.0025
epoch:004 ,particle:10, par err:0.0285, best part err:0.0072, best swarm err:0.0025
epoch:004 ,particle:11, par err:0.0284, best part err:0.0131, best swarm err:0.0025
epoch:004 ,particle:12, par err:0.0241, best part err:0.0145, best swarm err:0.0025
epoch:004 ,particle:13, par err:0.0286, best part err:0.0072, best swarm err:0.0025
epoch:004 ,particle:14, par err:0.0286, best part err:0.0151, best swarm err:0.0025
epoch:004 ,particle:15, par err:0.0283, best part err:0.0110, best swarm err:0.0025

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.2470, best part err:0.0087, best swarm err:0.0025
epoch:005 ,particle:02, par err:0.0429, best part err:0.0040, best swarm err:0.0025
epoch:005 ,particle:03, par err:0.4603, best part err:0.0161, best swarm err:0.0025
epoch:005 ,particle:04, par err:0.3818, best part err:0.0158, best swarm err:0.0025
epoch:005 ,particle:05, par err:0.0946, best part err:0.0025, best swarm err:0.0025
epoch:005 ,particle:06, par err:0.2223, best part err:0.0123, best swarm err:0.0025
epoch:005 ,particle:07, par err:0.4231, best part err:0.0133, best swarm err:0.0025
epoch:005 ,particle:08, par err:0.5461, best part err:0.0093, best swarm err:0.0025
epoch:005 ,particle:09, par err:0.2635, best part err:0.0096, best swarm err:0.0025
epoch:005 ,particle:10, par err:0.3906, best part err:0.0072, best swarm err:0.0025
epoch:005 ,particle:11, par err:0.3904, best part err:0.0131, best swarm err:0.0025
epoch:005 ,particle:12, par err:0.2906, best part err:0.0145, best swarm err:0.0025
epoch:005 ,particle:13, par err:0.3653, best part err:0.0072, best swarm err:0.0025
epoch:005 ,particle:14, par err:0.6145, best part err:0.0151, best swarm err:0.0025
epoch:005 ,particle:15, par err:0.3341, best part err:0.0110, best swarm err:0.0025

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.3871, best part err:0.0087, best swarm err:0.0025
epoch:006 ,particle:02, par err:0.0871, best part err:0.0040, best swarm err:0.0025
epoch:006 ,particle:03, par err:2.3786, best part err:0.0161, best swarm err:0.0025
epoch:006 ,particle:04, par err:0.5611, best part err:0.0158, best swarm err:0.0025
epoch:006 ,particle:05, par err:0.0431, best part err:0.0025, best swarm err:0.0025
epoch:006 ,particle:06, par err:0.0371, best part err:0.0123, best swarm err:0.0025
epoch:006 ,particle:07, par err:2.1309, best part err:0.0133, best swarm err:0.0025
epoch:006 ,particle:08, par err:1.7781, best part err:0.0093, best swarm err:0.0025
epoch:006 ,particle:09, par err:2.1258, best part err:0.0096, best swarm err:0.0025
epoch:006 ,particle:10, par err:2.8777, best part err:0.0072, best swarm err:0.0025
epoch:006 ,particle:11, par err:2.9056, best part err:0.0131, best swarm err:0.0025
epoch:006 ,particle:12, par err:0.7970, best part err:0.0145, best swarm err:0.0025
epoch:006 ,particle:13, par err:0.1908, best part err:0.0072, best swarm err:0.0025
epoch:006 ,particle:14, par err:3.6048, best part err:0.0151, best swarm err:0.0025
epoch:006 ,particle:15, par err:1.0630, best part err:0.0110, best swarm err:0.0025

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.0288, best part err:0.0087, best swarm err:0.0025
epoch:007 ,particle:02, par err:0.0222, best part err:0.0040, best swarm err:0.0025
epoch:007 ,particle:03, par err:0.0290, best part err:0.0161, best swarm err:0.0025
epoch:007 ,particle:04, par err:0.0288, best part err:0.0158, best swarm err:0.0025
epoch:007 ,particle:05, par err:0.0284, best part err:0.0025, best swarm err:0.0025
epoch:007 ,particle:06, par err:0.0289, best part err:0.0123, best swarm err:0.0025
epoch:007 ,particle:07, par err:0.0289, best part err:0.0133, best swarm err:0.0025
epoch:007 ,particle:08, par err:0.0290, best part err:0.0093, best swarm err:0.0025
epoch:007 ,particle:09, par err:0.0289, best part err:0.0096, best swarm err:0.0025
epoch:007 ,particle:10, par err:0.0289, best part err:0.0072, best swarm err:0.0025
epoch:007 ,particle:11, par err:0.0290, best part err:0.0131, best swarm err:0.0025
epoch:007 ,particle:12, par err:0.0288, best part err:0.0145, best swarm err:0.0025
