Function:TanH
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.8812, best part err:0.8812, best swarm err:0.8001
epoch:001 ,particle:02, par err:0.8763, best part err:0.8763, best swarm err:0.8001
epoch:001 ,particle:03, par err:0.9412, best part err:0.9412, best swarm err:0.8001
epoch:001 ,particle:04, par err:0.8126, best part err:0.8126, best swarm err:0.8001
epoch:001 ,particle:05, par err:0.8728, best part err:0.8728, best swarm err:0.8001
epoch:001 ,particle:06, par err:0.9450, best part err:0.9450, best swarm err:0.8001
epoch:001 ,particle:07, par err:0.9253, best part err:0.9253, best swarm err:0.8001
epoch:001 ,particle:08, par err:0.8001, best part err:0.8001, best swarm err:0.8001
epoch:001 ,particle:09, par err:0.9190, best part err:0.9190, best swarm err:0.8001
epoch:001 ,particle:10, par err:1.0038, best part err:1.0038, best swarm err:0.8001
epoch:001 ,particle:11, par err:0.8175, best part err:0.8175, best swarm err:0.8001
epoch:001 ,particle:12, par err:0.9494, best part err:0.9494, best swarm err:0.8001
epoch:001 ,particle:13, par err:0.9935, best part err:0.9935, best swarm err:0.8001
epoch:001 ,particle:14, par err:0.9488, best part err:0.9488, best swarm err:0.8001
epoch:001 ,particle:15, par err:0.9269, best part err:0.9269, best swarm err:0.8001

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.5390, best part err:0.5390, best swarm err:0.4547
epoch:002 ,particle:02, par err:0.4547, best part err:0.4547, best swarm err:0.4547
epoch:002 ,particle:03, par err:0.7892, best part err:0.7892, best swarm err:0.4547
epoch:002 ,particle:04, par err:0.8025, best part err:0.8025, best swarm err:0.4547
epoch:002 ,particle:05, par err:0.8164, best part err:0.8164, best swarm err:0.4547
epoch:002 ,particle:06, par err:0.8238, best part err:0.8238, best swarm err:0.4547
epoch:002 ,particle:07, par err:0.5182, best part err:0.5182, best swarm err:0.4547
epoch:002 ,particle:08, par err:0.8711, best part err:0.8001, best swarm err:0.4547
epoch:002 ,particle:09, par err:0.7146, best part err:0.7146, best swarm err:0.4547
epoch:002 ,particle:10, par err:0.8945, best part err:0.8945, best swarm err:0.4547
epoch:002 ,particle:11, par err:0.6236, best part err:0.6236, best swarm err:0.4547
epoch:002 ,particle:12, par err:0.8859, best part err:0.8859, best swarm err:0.4547
epoch:002 ,particle:13, par err:0.6554, best part err:0.6554, best swarm err:0.4547
epoch:002 ,particle:14, par err:0.6508, best part err:0.6508, best swarm err:0.4547
epoch:002 ,particle:15, par err:0.6606, best part err:0.6606, best swarm err:0.4547

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.1062, best part err:0.1062, best swarm err:0.0669
epoch:003 ,particle:02, par err:0.0669, best part err:0.0669, best swarm err:0.0669
epoch:003 ,particle:03, par err:0.1257, best part err:0.1257, best swarm err:0.0669
epoch:003 ,particle:04, par err:0.1018, best part err:0.1018, best swarm err:0.0669
epoch:003 ,particle:05, par err:0.1147, best part err:0.1147, best swarm err:0.0669
epoch:003 ,particle:06, par err:0.1686, best part err:0.1686, best swarm err:0.0669
epoch:003 ,particle:07, par err:0.0738, best part err:0.0738, best swarm err:0.0669
epoch:003 ,particle:08, par err:0.2205, best part err:0.2205, best swarm err:0.0669
epoch:003 ,particle:09, par err:0.1268, best part err:0.1268, best swarm err:0.0669
epoch:003 ,particle:10, par err:0.2000, best part err:0.2000, best swarm err:0.0669
epoch:003 ,particle:11, par err:0.1405, best part err:0.1405, best swarm err:0.0669
epoch:003 ,particle:12, par err:0.1415, best part err:0.1415, best swarm err:0.0669
epoch:003 ,particle:13, par err:0.1368, best part err:0.1368, best swarm err:0.0669
epoch:003 ,particle:14, par err:0.0908, best part err:0.0908, best swarm err:0.0669
epoch:003 ,particle:15, par err:0.0942, best part err:0.0942, best swarm err:0.0669

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.0066, best part err:0.0066, best swarm err:0.0018
epoch:004 ,particle:02, par err:0.0079, best part err:0.0079, best swarm err:0.0018
epoch:004 ,particle:03, par err:0.0027, best part err:0.0027, best swarm err:0.0018
epoch:004 ,particle:04, par err:0.0033, best part err:0.0033, best swarm err:0.0018
epoch:004 ,particle:05, par err:0.0036, best part err:0.0036, best swarm err:0.0018
epoch:004 ,particle:06, par err:0.0039, best part err:0.0039, best swarm err:0.0018
epoch:004 ,particle:07, par err:0.0061, best part err:0.0061, best swarm err:0.0018
epoch:004 ,particle:08, par err:0.0018, best part err:0.0018, best swarm err:0.0018
epoch:004 ,particle:09, par err:0.0052, best part err:0.0052, best swarm err:0.0018
epoch:004 ,particle:10, par err:0.0038, best part err:0.0038, best swarm err:0.0018
epoch:004 ,particle:11, par err:0.0052, best part err:0.0052, best swarm err:0.0018
epoch:004 ,particle:12, par err:0.0024, best part err:0.0024, best swarm err:0.0018
epoch:004 ,particle:13, par err:0.0044, best part err:0.0044, best swarm err:0.0018
epoch:004 ,particle:14, par err:0.0045, best part err:0.0045, best swarm err:0.0018
epoch:004 ,particle:15, par err:0.0052, best part err:0.0052, best swarm err:0.0018

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.0029, best part err:0.0029, best swarm err:0.0016
epoch:005 ,particle:02, par err:0.0016, best part err:0.0016, best swarm err:0.0016
epoch:005 ,particle:03, par err:0.0036, best part err:0.0027, best swarm err:0.0016
epoch:005 ,particle:04, par err:0.0033, best part err:0.0033, best swarm err:0.0016
epoch:005 ,particle:05, par err:0.0034, best part err:0.0034, best swarm err:0.0016
epoch:005 ,particle:06, par err:0.0043, best part err:0.0039, best swarm err:0.0016
epoch:005 ,particle:07, par err:0.0018, best part err:0.0018, best swarm err:0.0016
epoch:005 ,particle:08, par err:0.0052, best part err:0.0018, best swarm err:0.0016
epoch:005 ,particle:09, par err:0.0031, best part err:0.0031, best swarm err:0.0016
epoch:005 ,particle:10, par err:0.0042, best part err:0.0038, best swarm err:0.0016
epoch:005 ,particle:11, par err:0.0040, best part err:0.0040, best swarm err:0.0016
epoch:005 ,particle:12, par err:0.0036, best part err:0.0024, best swarm err:0.0016
epoch:005 ,particle:13, par err:0.0033, best part err:0.0033, best swarm err:0.0016
epoch:005 ,particle:14, par err:0.0026, best part err:0.0026, best swarm err:0.0016
epoch:005 ,particle:15, par err:0.0024, best part err:0.0024, best swarm err:0.0016

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.0095, best part err:0.0029, best swarm err:0.0016
epoch:006 ,particle:02, par err:0.0092, best part err:0.0016, best swarm err:0.0016
epoch:006 ,particle:03, par err:0.0046, best part err:0.0027, best swarm err:0.0016
epoch:006 ,particle:04, par err:0.0084, best part err:0.0033, best swarm err:0.0016
epoch:006 ,particle:05, par err:0.0086, best part err:0.0034, best swarm err:0.0016
epoch:006 ,particle:06, par err:0.0092, best part err:0.0039, best swarm err:0.0016
epoch:006 ,particle:07, par err:0.0090, best part err:0.0018, best swarm err:0.0016
epoch:006 ,particle:08, par err:0.0119, best part err:0.0018, best swarm err:0.0016
epoch:006 ,particle:09, par err:0.0091, best part err:0.0031, best swarm err:0.0016
epoch:006 ,particle:10, par err:0.0099, best part err:0.0038, best swarm err:0.0016
epoch:006 ,particle:11, par err:0.0095, best part err:0.0040, best swarm err:0.0016
epoch:006 ,particle:12, par err:0.0049, best part err:0.0024, best swarm err:0.0016
epoch:006 ,particle:13, par err:0.0089, best part err:0.0033, best swarm err:0.0016
epoch:006 ,particle:14, par err:0.0084, best part err:0.0026, best swarm err:0.0016
epoch:006 ,particle:15, par err:0.0089, best part err:0.0024, best swarm err:0.0016

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.0107, best part err:0.0029, best swarm err:0.0000
epoch:007 ,particle:02, par err:0.0157, best part err:0.0016, best swarm err:0.0000
epoch:007 ,particle:03, par err:0.0000, best part err:0.0000, best swarm err:0.0000
epoch:007 ,particle:04, par err:0.0052, best part err:0.0033, best swarm err:0.0000
epoch:007 ,particle:05, par err:0.0054, best part err:0.0034, best swarm err:0.0000
epoch:007 ,particle:06, par err:0.0001, best part err:0.0001, best swarm err:0.0000
epoch:007 ,particle:07, par err:0.0115, best part err:0.0018, best swarm err:0.0000
epoch:007 ,particle:08, par err:0.0007, best part err:0.0007, best swarm err:0.0000
epoch:007 ,particle:09, par err:0.0085, best part err:0.0031, best swarm err:0.0000
epoch:007 ,particle:10, par err:0.0000, best part err:0.0000, best swarm err:0.0000
epoch:007 ,particle:11, par err:0.0069, best part err:0.0040, best swarm err:0.0000
epoch:007 ,particle:12, par err:0.0001, best part err:0.0001, best swarm err:0.0000
epoch:007 ,particle:13, par err:0.0068, best part err:0.0033, best swarm err:0.0000
epoch:007 ,particle:14, par err:0.0082, best part err:0.0026, best swarm err:0.0000
epoch:007 ,particle:15, par err:0.0091, best part err:0.0024, best swarm err:0.0000

-------------------------------------------------------------------------------------
