Function:TanH
ANN Hyperparameters: activation function Sigmoid, layer arch [1, 1, 1, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:1.1610, best part err:1.1610, best swarm err:1.1236
epoch:001 ,particle:02, par err:1.1560, best part err:1.1560, best swarm err:1.1236
epoch:001 ,particle:03, par err:1.1810, best part err:1.1810, best swarm err:1.1236
epoch:001 ,particle:04, par err:1.1434, best part err:1.1434, best swarm err:1.1236
epoch:001 ,particle:05, par err:1.1738, best part err:1.1738, best swarm err:1.1236
epoch:001 ,particle:06, par err:1.1642, best part err:1.1642, best swarm err:1.1236
epoch:001 ,particle:07, par err:1.1352, best part err:1.1352, best swarm err:1.1236
epoch:001 ,particle:08, par err:1.1487, best part err:1.1487, best swarm err:1.1236
epoch:001 ,particle:09, par err:1.1236, best part err:1.1236, best swarm err:1.1236
epoch:001 ,particle:10, par err:1.1302, best part err:1.1302, best swarm err:1.1236
epoch:001 ,particle:11, par err:1.1571, best part err:1.1571, best swarm err:1.1236
epoch:001 ,particle:12, par err:1.1684, best part err:1.1684, best swarm err:1.1236
epoch:001 ,particle:13, par err:1.1847, best part err:1.1847, best swarm err:1.1236
epoch:001 ,particle:14, par err:1.1407, best part err:1.1407, best swarm err:1.1236
epoch:001 ,particle:15, par err:1.1613, best part err:1.1613, best swarm err:1.1236

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:1.0850, best part err:1.0850, best swarm err:1.0687
epoch:002 ,particle:02, par err:1.1117, best part err:1.1117, best swarm err:1.0687
epoch:002 ,particle:03, par err:1.1069, best part err:1.1069, best swarm err:1.0687
epoch:002 ,particle:04, par err:1.0965, best part err:1.0965, best swarm err:1.0687
epoch:002 ,particle:05, par err:1.0945, best part err:1.0945, best swarm err:1.0687
epoch:002 ,particle:06, par err:1.1153, best part err:1.1153, best swarm err:1.0687
epoch:002 ,particle:07, par err:1.0935, best part err:1.0935, best swarm err:1.0687
epoch:002 ,particle:08, par err:1.0910, best part err:1.0910, best swarm err:1.0687
epoch:002 ,particle:09, par err:1.1308, best part err:1.1236, best swarm err:1.0687
epoch:002 ,particle:10, par err:1.1230, best part err:1.1230, best swarm err:1.0687
epoch:002 ,particle:11, par err:1.1280, best part err:1.1280, best swarm err:1.0687
epoch:002 ,particle:12, par err:1.0970, best part err:1.0970, best swarm err:1.0687
epoch:002 ,particle:13, par err:1.0687, best part err:1.0687, best swarm err:1.0687
epoch:002 ,particle:14, par err:1.1050, best part err:1.1050, best swarm err:1.0687
epoch:002 ,particle:15, par err:1.0938, best part err:1.0938, best swarm err:1.0687

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:1.0034, best part err:1.0034, best swarm err:0.9940
epoch:003 ,particle:02, par err:1.0140, best part err:1.0140, best swarm err:0.9940
epoch:003 ,particle:03, par err:0.9948, best part err:0.9948, best swarm err:0.9940
epoch:003 ,particle:04, par err:1.0168, best part err:1.0168, best swarm err:0.9940
epoch:003 ,particle:05, par err:0.9940, best part err:0.9940, best swarm err:0.9940
epoch:003 ,particle:06, par err:1.0122, best part err:1.0122, best swarm err:0.9940
epoch:003 ,particle:07, par err:1.0175, best part err:1.0175, best swarm err:0.9940
epoch:003 ,particle:08, par err:1.0121, best part err:1.0121, best swarm err:0.9940
epoch:003 ,particle:09, par err:1.0383, best part err:1.0383, best swarm err:0.9940
epoch:003 ,particle:10, par err:1.0341, best part err:1.0341, best swarm err:0.9940
epoch:003 ,particle:11, par err:1.0219, best part err:1.0219, best swarm err:0.9940
epoch:003 ,particle:12, par err:1.0037, best part err:1.0037, best swarm err:0.9940
epoch:003 ,particle:13, par err:0.9952, best part err:0.9952, best swarm err:0.9940
epoch:003 ,particle:14, par err:1.0197, best part err:1.0197, best swarm err:0.9940
epoch:003 ,particle:15, par err:1.0064, best part err:1.0064, best swarm err:0.9940

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.9429, best part err:0.9429, best swarm err:0.9260
epoch:004 ,particle:02, par err:0.9311, best part err:0.9311, best swarm err:0.9260
epoch:004 ,particle:03, par err:0.9354, best part err:0.9354, best swarm err:0.9260
epoch:004 ,particle:04, par err:0.9368, best part err:0.9368, best swarm err:0.9260
epoch:004 ,particle:05, par err:0.9408, best part err:0.9408, best swarm err:0.9260
epoch:004 ,particle:06, par err:0.9303, best part err:0.9303, best swarm err:0.9260
epoch:004 ,particle:07, par err:0.9414, best part err:0.9414, best swarm err:0.9260
epoch:004 ,particle:08, par err:0.9423, best part err:0.9423, best swarm err:0.9260
epoch:004 ,particle:09, par err:0.9336, best part err:0.9336, best swarm err:0.9260
epoch:004 ,particle:10, par err:0.9367, best part err:0.9367, best swarm err:0.9260
epoch:004 ,particle:11, par err:0.9260, best part err:0.9260, best swarm err:0.9260
epoch:004 ,particle:12, par err:0.9349, best part err:0.9349, best swarm err:0.9260
epoch:004 ,particle:13, par err:0.9452, best part err:0.9452, best swarm err:0.9260
epoch:004 ,particle:14, par err:0.9362, best part err:0.9362, best swarm err:0.9260
epoch:004 ,particle:15, par err:0.9409, best part err:0.9409, best swarm err:0.9260

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.9008, best part err:0.9008, best swarm err:0.8912
epoch:005 ,particle:02, par err:0.8931, best part err:0.8931, best swarm err:0.8912
epoch:005 ,particle:03, par err:0.8947, best part err:0.8947, best swarm err:0.8912
epoch:005 ,particle:04, par err:0.8968, best part err:0.8968, best swarm err:0.8912
epoch:005 ,particle:05, par err:0.9013, best part err:0.9013, best swarm err:0.8912
epoch:005 ,particle:06, par err:0.8957, best part err:0.8957, best swarm err:0.8912
epoch:005 ,particle:07, par err:0.8981, best part err:0.8981, best swarm err:0.8912
epoch:005 ,particle:08, par err:0.8947, best part err:0.8947, best swarm err:0.8912
epoch:005 ,particle:09, par err:0.8933, best part err:0.8933, best swarm err:0.8912
epoch:005 ,particle:10, par err:0.8973, best part err:0.8973, best swarm err:0.8912
epoch:005 ,particle:11, par err:0.8917, best part err:0.8917, best swarm err:0.8912
epoch:005 ,particle:12, par err:0.8912, best part err:0.8912, best swarm err:0.8912
epoch:005 ,particle:13, par err:0.8934, best part err:0.8934, best swarm err:0.8912
epoch:005 ,particle:14, par err:0.8923, best part err:0.8923, best swarm err:0.8912
epoch:005 ,particle:15, par err:0.8961, best part err:0.8961, best swarm err:0.8912

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.8812, best part err:0.8812, best swarm err:0.8803
epoch:006 ,particle:02, par err:0.8832, best part err:0.8832, best swarm err:0.8803
epoch:006 ,particle:03, par err:0.8804, best part err:0.8804, best swarm err:0.8803
epoch:006 ,particle:04, par err:0.8827, best part err:0.8827, best swarm err:0.8803
epoch:006 ,particle:05, par err:0.8814, best part err:0.8814, best swarm err:0.8803
epoch:006 ,particle:06, par err:0.8810, best part err:0.8810, best swarm err:0.8803
epoch:006 ,particle:07, par err:0.8817, best part err:0.8817, best swarm err:0.8803
epoch:006 ,particle:08, par err:0.8807, best part err:0.8807, best swarm err:0.8803
epoch:006 ,particle:09, par err:0.8835, best part err:0.8835, best swarm err:0.8803
epoch:006 ,particle:10, par err:0.8810, best part err:0.8810, best swarm err:0.8803
epoch:006 ,particle:11, par err:0.8822, best part err:0.8822, best swarm err:0.8803
epoch:006 ,particle:12, par err:0.8804, best part err:0.8804, best swarm err:0.8803
epoch:006 ,particle:13, par err:0.8814, best part err:0.8814, best swarm err:0.8803
epoch:006 ,particle:14, par err:0.8803, best part err:0.8803, best swarm err:0.8803
epoch:006 ,particle:15, par err:0.8803, best part err:0.8803, best swarm err:0.8803

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.8789, best part err:0.8789, best swarm err:0.8758
epoch:007 ,particle:02, par err:0.8802, best part err:0.8802, best swarm err:0.8758
epoch:007 ,particle:03, par err:0.8830, best part err:0.8804, best swarm err:0.8758
epoch:007 ,particle:04, par err:0.8787, best part err:0.8787, best swarm err:0.8758
epoch:007 ,particle:05, par err:0.8803, best part err:0.8803, best swarm err:0.8758
epoch:007 ,particle:06, par err:0.8784, best part err:0.8784, best swarm err:0.8758
epoch:007 ,particle:07, par err:0.8786, best part err:0.8786, best swarm err:0.8758
epoch:007 ,particle:08, par err:0.8805, best part err:0.8805, best swarm err:0.8758
epoch:007 ,particle:09, par err:0.8773, best part err:0.8773, best swarm err:0.8758
epoch:007 ,particle:10, par err:0.8758, best part err:0.8758, best swarm err:0.8758
epoch:007 ,particle:11, par err:0.8789, best part err:0.8789, best swarm err:0.8758
epoch:007 ,particle:12, par err:0.8821, best part err:0.8804, best swarm err:0.8758
epoch:007 ,particle:13, par err:0.8830, best part err:0.8814, best swarm err:0.8758
epoch:007 ,particle:14, par err:0.8801, best part err:0.8801, best swarm err:0.8758
epoch:007 ,particle:15, par err:0.8800, best part err:0.8800, best swarm err:0.8758

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.8768, best part err:0.8768, best swarm err:0.8680
