Function:XOR
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [2, 8, 5, 1]
PSO Hyperparameters: swarm size30, inertia weight1.4, cognitive weight2.4, social weight2.4, epochs50
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.5031, best part err:0.5031, best swarm err:0.4779
epoch:001 ,particle:02, par err:0.4831, best part err:0.4831, best swarm err:0.4779
epoch:001 ,particle:03, par err:0.4963, best part err:0.4963, best swarm err:0.4779
epoch:001 ,particle:04, par err:0.5133, best part err:0.5133, best swarm err:0.4779
epoch:001 ,particle:05, par err:0.5111, best part err:0.5111, best swarm err:0.4779
epoch:001 ,particle:06, par err:0.4939, best part err:0.4939, best swarm err:0.4779
epoch:001 ,particle:07, par err:0.5087, best part err:0.5087, best swarm err:0.4779
epoch:001 ,particle:08, par err:0.4920, best part err:0.4920, best swarm err:0.4779
epoch:001 ,particle:09, par err:0.4779, best part err:0.4779, best swarm err:0.4779
epoch:001 ,particle:10, par err:0.5164, best part err:0.5164, best swarm err:0.4779
epoch:001 ,particle:11, par err:0.5195, best part err:0.5195, best swarm err:0.4779
epoch:001 ,particle:12, par err:0.4892, best part err:0.4892, best swarm err:0.4779
epoch:001 ,particle:13, par err:0.5068, best part err:0.5068, best swarm err:0.4779
epoch:001 ,particle:14, par err:0.4947, best part err:0.4947, best swarm err:0.4779
epoch:001 ,particle:15, par err:0.5114, best part err:0.5114, best swarm err:0.4779
epoch:001 ,particle:16, par err:0.5106, best part err:0.5106, best swarm err:0.4779
epoch:001 ,particle:17, par err:0.4932, best part err:0.4932, best swarm err:0.4779
epoch:001 ,particle:18, par err:0.4926, best part err:0.4926, best swarm err:0.4779
epoch:001 ,particle:19, par err:0.4838, best part err:0.4838, best swarm err:0.4779
epoch:001 ,particle:20, par err:0.4988, best part err:0.4988, best swarm err:0.4779
epoch:001 ,particle:21, par err:0.5095, best part err:0.5095, best swarm err:0.4779
epoch:001 ,particle:22, par err:0.4989, best part err:0.4989, best swarm err:0.4779
epoch:001 ,particle:23, par err:0.5110, best part err:0.5110, best swarm err:0.4779
epoch:001 ,particle:24, par err:0.4873, best part err:0.4873, best swarm err:0.4779
epoch:001 ,particle:25, par err:0.4894, best part err:0.4894, best swarm err:0.4779
epoch:001 ,particle:26, par err:0.4950, best part err:0.4950, best swarm err:0.4779
epoch:001 ,particle:27, par err:0.5033, best part err:0.5033, best swarm err:0.4779
epoch:001 ,particle:28, par err:0.5074, best part err:0.5074, best swarm err:0.4779
epoch:001 ,particle:29, par err:0.4972, best part err:0.4972, best swarm err:0.4779
epoch:001 ,particle:30, par err:0.5083, best part err:0.5083, best swarm err:0.4779

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.5861, best part err:0.5031, best swarm err:0.2162
epoch:002 ,particle:02, par err:0.3640, best part err:0.3640, best swarm err:0.2162
epoch:002 ,particle:03, par err:0.6155, best part err:0.4963, best swarm err:0.2162
epoch:002 ,particle:04, par err:0.6560, best part err:0.5133, best swarm err:0.2162
epoch:002 ,particle:05, par err:0.4483, best part err:0.4483, best swarm err:0.2162
epoch:002 ,particle:06, par err:0.2179, best part err:0.2179, best swarm err:0.2162
epoch:002 ,particle:07, par err:0.2969, best part err:0.2969, best swarm err:0.2162
epoch:002 ,particle:08, par err:0.5469, best part err:0.4920, best swarm err:0.2162
epoch:002 ,particle:09, par err:0.4992, best part err:0.4779, best swarm err:0.2162
epoch:002 ,particle:10, par err:0.6823, best part err:0.5164, best swarm err:0.2162
epoch:002 ,particle:11, par err:0.3637, best part err:0.3637, best swarm err:0.2162
epoch:002 ,particle:12, par err:0.3549, best part err:0.3549, best swarm err:0.2162
epoch:002 ,particle:13, par err:0.4019, best part err:0.4019, best swarm err:0.2162
epoch:002 ,particle:14, par err:0.2162, best part err:0.2162, best swarm err:0.2162
epoch:002 ,particle:15, par err:0.6420, best part err:0.5114, best swarm err:0.2162
epoch:002 ,particle:16, par err:0.4021, best part err:0.4021, best swarm err:0.2162
epoch:002 ,particle:17, par err:0.4439, best part err:0.4439, best swarm err:0.2162
epoch:002 ,particle:18, par err:0.5228, best part err:0.4926, best swarm err:0.2162
epoch:002 ,particle:19, par err:0.6062, best part err:0.4838, best swarm err:0.2162
epoch:002 ,particle:20, par err:0.3263, best part err:0.3263, best swarm err:0.2162
epoch:002 ,particle:21, par err:0.3033, best part err:0.3033, best swarm err:0.2162
epoch:002 ,particle:22, par err:0.4554, best part err:0.4554, best swarm err:0.2162
epoch:002 ,particle:23, par err:0.2496, best part err:0.2496, best swarm err:0.2162
epoch:002 ,particle:24, par err:0.2573, best part err:0.2573, best swarm err:0.2162
epoch:002 ,particle:25, par err:0.3025, best part err:0.3025, best swarm err:0.2162
epoch:002 ,particle:26, par err:0.3452, best part err:0.3452, best swarm err:0.2162
epoch:002 ,particle:27, par err:0.3815, best part err:0.3815, best swarm err:0.2162
epoch:002 ,particle:28, par err:0.2687, best part err:0.2687, best swarm err:0.2162
epoch:002 ,particle:29, par err:0.3957, best part err:0.3957, best swarm err:0.2162
epoch:002 ,particle:30, par err:0.3044, best part err:0.3044, best swarm err:0.2162

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:1.3920, best part err:0.5031, best swarm err:0.1304
epoch:003 ,particle:02, par err:0.2355, best part err:0.2355, best swarm err:0.1304
epoch:003 ,particle:03, par err:0.6074, best part err:0.4963, best swarm err:0.1304
epoch:003 ,particle:04, par err:2.1604, best part err:0.5133, best swarm err:0.1304
epoch:003 ,particle:05, par err:0.2379, best part err:0.2379, best swarm err:0.1304
epoch:003 ,particle:06, par err:0.1673, best part err:0.1673, best swarm err:0.1304
epoch:003 ,particle:07, par err:0.1764, best part err:0.1764, best swarm err:0.1304
epoch:003 ,particle:08, par err:1.6300, best part err:0.4920, best swarm err:0.1304
epoch:003 ,particle:09, par err:0.5392, best part err:0.4779, best swarm err:0.1304
epoch:003 ,particle:10, par err:1.3954, best part err:0.5164, best swarm err:0.1304
epoch:003 ,particle:11, par err:0.2416, best part err:0.2416, best swarm err:0.1304
epoch:003 ,particle:12, par err:0.2302, best part err:0.2302, best swarm err:0.1304
epoch:003 ,particle:13, par err:0.2305, best part err:0.2305, best swarm err:0.1304
epoch:003 ,particle:14, par err:0.1694, best part err:0.1694, best swarm err:0.1304
epoch:003 ,particle:15, par err:2.2219, best part err:0.5114, best swarm err:0.1304
