Function:XOR
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [2, 7, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.5619, best part err:0.5619, best swarm err:0.4339
epoch:001 ,particle:02, par err:0.5361, best part err:0.5361, best swarm err:0.4339
epoch:001 ,particle:03, par err:0.5070, best part err:0.5070, best swarm err:0.4339
epoch:001 ,particle:04, par err:0.4761, best part err:0.4761, best swarm err:0.4339
epoch:001 ,particle:05, par err:0.4676, best part err:0.4676, best swarm err:0.4339
epoch:001 ,particle:06, par err:0.5458, best part err:0.5458, best swarm err:0.4339
epoch:001 ,particle:07, par err:0.4349, best part err:0.4349, best swarm err:0.4339
epoch:001 ,particle:08, par err:0.4554, best part err:0.4554, best swarm err:0.4339
epoch:001 ,particle:09, par err:0.5067, best part err:0.5067, best swarm err:0.4339
epoch:001 ,particle:10, par err:0.5903, best part err:0.5903, best swarm err:0.4339
epoch:001 ,particle:11, par err:0.5737, best part err:0.5737, best swarm err:0.4339
epoch:001 ,particle:12, par err:0.4513, best part err:0.4513, best swarm err:0.4339
epoch:001 ,particle:13, par err:0.5505, best part err:0.5505, best swarm err:0.4339
epoch:001 ,particle:14, par err:0.4339, best part err:0.4339, best swarm err:0.4339
epoch:001 ,particle:15, par err:0.4971, best part err:0.4971, best swarm err:0.4339

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.3655, best part err:0.3655, best swarm err:0.3288
epoch:002 ,particle:02, par err:0.3402, best part err:0.3402, best swarm err:0.3288
epoch:002 ,particle:03, par err:0.3315, best part err:0.3315, best swarm err:0.3288
epoch:002 ,particle:04, par err:0.4242, best part err:0.4242, best swarm err:0.3288
epoch:002 ,particle:05, par err:0.4622, best part err:0.4622, best swarm err:0.3288
epoch:002 ,particle:06, par err:0.3920, best part err:0.3920, best swarm err:0.3288
epoch:002 ,particle:07, par err:0.3775, best part err:0.3775, best swarm err:0.3288
epoch:002 ,particle:08, par err:0.3288, best part err:0.3288, best swarm err:0.3288
epoch:002 ,particle:09, par err:0.4382, best part err:0.4382, best swarm err:0.3288
epoch:002 ,particle:10, par err:0.5151, best part err:0.5151, best swarm err:0.3288
epoch:002 ,particle:11, par err:0.3653, best part err:0.3653, best swarm err:0.3288
epoch:002 ,particle:12, par err:0.3901, best part err:0.3901, best swarm err:0.3288
epoch:002 ,particle:13, par err:0.5399, best part err:0.5399, best swarm err:0.3288
epoch:002 ,particle:14, par err:0.4160, best part err:0.4160, best swarm err:0.3288
epoch:002 ,particle:15, par err:0.3468, best part err:0.3468, best swarm err:0.3288

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.2479, best part err:0.2479, best swarm err:0.2479
epoch:003 ,particle:02, par err:0.3023, best part err:0.3023, best swarm err:0.2479
epoch:003 ,particle:03, par err:0.2712, best part err:0.2712, best swarm err:0.2479
epoch:003 ,particle:04, par err:0.3398, best part err:0.3398, best swarm err:0.2479
epoch:003 ,particle:05, par err:0.3639, best part err:0.3639, best swarm err:0.2479
epoch:003 ,particle:06, par err:0.2488, best part err:0.2488, best swarm err:0.2479
epoch:003 ,particle:07, par err:0.2822, best part err:0.2822, best swarm err:0.2479
epoch:003 ,particle:08, par err:0.2793, best part err:0.2793, best swarm err:0.2479
epoch:003 ,particle:09, par err:0.2965, best part err:0.2965, best swarm err:0.2479
epoch:003 ,particle:10, par err:0.3312, best part err:0.3312, best swarm err:0.2479
epoch:003 ,particle:11, par err:0.3633, best part err:0.3633, best swarm err:0.2479
epoch:003 ,particle:12, par err:0.3454, best part err:0.3454, best swarm err:0.2479
epoch:003 ,particle:13, par err:0.2479, best part err:0.2479, best swarm err:0.2479
epoch:003 ,particle:14, par err:0.3132, best part err:0.3132, best swarm err:0.2479
epoch:003 ,particle:15, par err:0.2684, best part err:0.2684, best swarm err:0.2479

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.2478, best part err:0.2478, best swarm err:0.2331
epoch:004 ,particle:02, par err:0.2453, best part err:0.2453, best swarm err:0.2331
epoch:004 ,particle:03, par err:0.2475, best part err:0.2475, best swarm err:0.2331
epoch:004 ,particle:04, par err:0.2440, best part err:0.2440, best swarm err:0.2331
epoch:004 ,particle:05, par err:0.2486, best part err:0.2486, best swarm err:0.2331
epoch:004 ,particle:06, par err:0.2461, best part err:0.2461, best swarm err:0.2331
epoch:004 ,particle:07, par err:0.2484, best part err:0.2484, best swarm err:0.2331
epoch:004 ,particle:08, par err:0.2461, best part err:0.2461, best swarm err:0.2331
epoch:004 ,particle:09, par err:0.2331, best part err:0.2331, best swarm err:0.2331
epoch:004 ,particle:10, par err:0.2475, best part err:0.2475, best swarm err:0.2331
epoch:004 ,particle:11, par err:0.2421, best part err:0.2421, best swarm err:0.2331
epoch:004 ,particle:12, par err:0.2496, best part err:0.2496, best swarm err:0.2331
epoch:004 ,particle:13, par err:0.2515, best part err:0.2479, best swarm err:0.2331
epoch:004 ,particle:14, par err:0.2478, best part err:0.2478, best swarm err:0.2331
epoch:004 ,particle:15, par err:0.2465, best part err:0.2465, best swarm err:0.2331

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.2412, best part err:0.2412, best swarm err:0.0924
epoch:005 ,particle:02, par err:0.1914, best part err:0.1914, best swarm err:0.0924
epoch:005 ,particle:03, par err:0.3357, best part err:0.2475, best swarm err:0.0924
epoch:005 ,particle:04, par err:0.2479, best part err:0.2440, best swarm err:0.0924
epoch:005 ,particle:05, par err:0.2534, best part err:0.2486, best swarm err:0.0924
epoch:005 ,particle:06, par err:0.2453, best part err:0.2453, best swarm err:0.0924
epoch:005 ,particle:07, par err:0.2427, best part err:0.2427, best swarm err:0.0924
epoch:005 ,particle:08, par err:0.3346, best part err:0.2461, best swarm err:0.0924
epoch:005 ,particle:09, par err:0.0924, best part err:0.0924, best swarm err:0.0924
epoch:005 ,particle:10, par err:0.2503, best part err:0.2475, best swarm err:0.0924
epoch:005 ,particle:11, par err:0.1953, best part err:0.1953, best swarm err:0.0924
epoch:005 ,particle:12, par err:0.2185, best part err:0.2185, best swarm err:0.0924
epoch:005 ,particle:13, par err:0.4830, best part err:0.2479, best swarm err:0.0924
epoch:005 ,particle:14, par err:0.2456, best part err:0.2456, best swarm err:0.0924
epoch:005 ,particle:15, par err:0.2105, best part err:0.2105, best swarm err:0.0924

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.9885, best part err:0.2412, best swarm err:0.0748
epoch:006 ,particle:02, par err:0.9782, best part err:0.1914, best swarm err:0.0748
epoch:006 ,particle:03, par err:0.1409, best part err:0.1409, best swarm err:0.0748
epoch:006 ,particle:04, par err:0.1426, best part err:0.1426, best swarm err:0.0748
epoch:006 ,particle:05, par err:0.1868, best part err:0.1868, best swarm err:0.0748
epoch:006 ,particle:06, par err:1.0520, best part err:0.2453, best swarm err:0.0748
epoch:006 ,particle:07, par err:1.2314, best part err:0.2427, best swarm err:0.0748
epoch:006 ,particle:08, par err:0.2358, best part err:0.2358, best swarm err:0.0748
epoch:006 ,particle:09, par err:0.8925, best part err:0.0924, best swarm err:0.0748
epoch:006 ,particle:10, par err:0.3713, best part err:0.2475, best swarm err:0.0748
epoch:006 ,particle:11, par err:1.0296, best part err:0.1953, best swarm err:0.0748
epoch:006 ,particle:12, par err:1.1403, best part err:0.2185, best swarm err:0.0748
epoch:006 ,particle:13, par err:0.0748, best part err:0.0748, best swarm err:0.0748
epoch:006 ,particle:14, par err:1.0242, best part err:0.2456, best swarm err:0.0748
epoch:006 ,particle:15, par err:1.1315, best part err:0.2105, best swarm err:0.0748

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.2687, best part err:0.2412, best swarm err:0.0748
epoch:007 ,particle:02, par err:0.2577, best part err:0.1914, best swarm err:0.0748
epoch:007 ,particle:03, par err:0.0852, best part err:0.0852, best swarm err:0.0748
epoch:007 ,particle:04, par err:0.1102, best part err:0.1102, best swarm err:0.0748
epoch:007 ,particle:05, par err:0.4590, best part err:0.1868, best swarm err:0.0748
epoch:007 ,particle:06, par err:0.2631, best part err:0.2453, best swarm err:0.0748
epoch:007 ,particle:07, par err:0.2512, best part err:0.2427, best swarm err:0.0748
epoch:007 ,particle:08, par err:0.1658, best part err:0.1658, best swarm err:0.0748
epoch:007 ,particle:09, par err:0.2549, best part err:0.0924, best swarm err:0.0748
epoch:007 ,particle:10, par err:0.2497, best part err:0.2475, best swarm err:0.0748
epoch:007 ,particle:11, par err:0.2593, best part err:0.1953, best swarm err:0.0748
epoch:007 ,particle:12, par err:0.2706, best part err:0.2185, best swarm err:0.0748
epoch:007 ,particle:13, par err:0.1868, best part err:0.0748, best swarm err:0.0748
epoch:007 ,particle:14, par err:0.2508, best part err:0.2456, best swarm err:0.0748
epoch:007 ,particle:15, par err:0.2607, best part err:0.2105, best swarm err:0.0748

-------------------------------------------------------------------------------------
