Function:Complex
ANN Hyperparameters: activation function Cosine, layer arch [2, 10, 8, 1]
PSO Hyperparameters: swarm size30, inertia weight1.2, cognitive weight0.6, social weight1.2, epochs100
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:1.4996, best part err:1.4996, best swarm err:0.6449
epoch:001 ,particle:02, par err:1.4241, best part err:1.4241, best swarm err:0.6449
epoch:001 ,particle:03, par err:1.4703, best part err:1.4703, best swarm err:0.6449
epoch:001 ,particle:04, par err:1.3410, best part err:1.3410, best swarm err:0.6449
epoch:001 ,particle:05, par err:1.3334, best part err:1.3334, best swarm err:0.6449
epoch:001 ,particle:06, par err:1.4965, best part err:1.4965, best swarm err:0.6449
epoch:001 ,particle:07, par err:1.3930, best part err:1.3930, best swarm err:0.6449
epoch:001 ,particle:08, par err:1.1621, best part err:1.1621, best swarm err:0.6449
epoch:001 ,particle:09, par err:1.4996, best part err:1.4996, best swarm err:0.6449
epoch:001 ,particle:10, par err:1.4994, best part err:1.4994, best swarm err:0.6449
epoch:001 ,particle:11, par err:1.4961, best part err:1.4961, best swarm err:0.6449
epoch:001 ,particle:12, par err:1.4055, best part err:1.4055, best swarm err:0.6449
epoch:001 ,particle:13, par err:1.4840, best part err:1.4840, best swarm err:0.6449
epoch:001 ,particle:14, par err:0.9221, best part err:0.9221, best swarm err:0.6449
epoch:001 ,particle:15, par err:1.2436, best part err:1.2436, best swarm err:0.6449
epoch:001 ,particle:16, par err:1.4435, best part err:1.4435, best swarm err:0.6449
epoch:001 ,particle:17, par err:1.3437, best part err:1.3437, best swarm err:0.6449
epoch:001 ,particle:18, par err:1.4947, best part err:1.4947, best swarm err:0.6449
epoch:001 ,particle:19, par err:1.2224, best part err:1.2224, best swarm err:0.6449
epoch:001 ,particle:20, par err:1.2250, best part err:1.2250, best swarm err:0.6449
epoch:001 ,particle:21, par err:1.4506, best part err:1.4506, best swarm err:0.6449
epoch:001 ,particle:22, par err:1.2060, best part err:1.2060, best swarm err:0.6449
epoch:001 ,particle:23, par err:1.4365, best part err:1.4365, best swarm err:0.6449
epoch:001 ,particle:24, par err:1.3807, best part err:1.3807, best swarm err:0.6449
epoch:001 ,particle:25, par err:0.6449, best part err:0.6449, best swarm err:0.6449
epoch:001 ,particle:26, par err:1.2852, best part err:1.2852, best swarm err:0.6449
epoch:001 ,particle:27, par err:1.4220, best part err:1.4220, best swarm err:0.6449
epoch:001 ,particle:28, par err:1.2865, best part err:1.2865, best swarm err:0.6449
epoch:001 ,particle:29, par err:1.4377, best part err:1.4377, best swarm err:0.6449
epoch:001 ,particle:30, par err:1.4804, best part err:1.4804, best swarm err:0.6449

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.7986, best part err:0.7986, best swarm err:0.1228
epoch:002 ,particle:02, par err:0.6728, best part err:0.6728, best swarm err:0.1228
epoch:002 ,particle:03, par err:0.5273, best part err:0.5273, best swarm err:0.1228
epoch:002 ,particle:04, par err:0.6567, best part err:0.6567, best swarm err:0.1228
epoch:002 ,particle:05, par err:0.2626, best part err:0.2626, best swarm err:0.1228
epoch:002 ,particle:06, par err:0.5606, best part err:0.5606, best swarm err:0.1228
epoch:002 ,particle:07, par err:0.9904, best part err:0.9904, best swarm err:0.1228
epoch:002 ,particle:08, par err:1.4730, best part err:1.1621, best swarm err:0.1228
epoch:002 ,particle:09, par err:0.3574, best part err:0.3574, best swarm err:0.1228
epoch:002 ,particle:10, par err:0.8527, best part err:0.8527, best swarm err:0.1228
epoch:002 ,particle:11, par err:0.6764, best part err:0.6764, best swarm err:0.1228
epoch:002 ,particle:12, par err:0.8634, best part err:0.8634, best swarm err:0.1228
epoch:002 ,particle:13, par err:1.3057, best part err:1.3057, best swarm err:0.1228
epoch:002 ,particle:14, par err:0.4799, best part err:0.4799, best swarm err:0.1228
epoch:002 ,particle:15, par err:0.8374, best part err:0.8374, best swarm err:0.1228
epoch:002 ,particle:16, par err:1.0389, best part err:1.0389, best swarm err:0.1228
epoch:002 ,particle:17, par err:0.9964, best part err:0.9964, best swarm err:0.1228
epoch:002 ,particle:18, par err:0.1233, best part err:0.1233, best swarm err:0.1228
epoch:002 ,particle:19, par err:0.5688, best part err:0.5688, best swarm err:0.1228
epoch:002 ,particle:20, par err:0.5998, best part err:0.5998, best swarm err:0.1228
epoch:002 ,particle:21, par err:0.7801, best part err:0.7801, best swarm err:0.1228
epoch:002 ,particle:22, par err:0.1228, best part err:0.1228, best swarm err:0.1228
epoch:002 ,particle:23, par err:0.1694, best part err:0.1694, best swarm err:0.1228
epoch:002 ,particle:24, par err:0.8408, best part err:0.8408, best swarm err:0.1228
epoch:002 ,particle:25, par err:0.1267, best part err:0.1267, best swarm err:0.1228
epoch:002 ,particle:26, par err:0.5066, best part err:0.5066, best swarm err:0.1228
epoch:002 ,particle:27, par err:0.4381, best part err:0.4381, best swarm err:0.1228
epoch:002 ,particle:28, par err:1.3950, best part err:1.2865, best swarm err:0.1228
epoch:002 ,particle:29, par err:0.8688, best part err:0.8688, best swarm err:0.1228
epoch:002 ,particle:30, par err:0.1252, best part err:0.1252, best swarm err:0.1228

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.5620, best part err:0.5620, best swarm err:0.1208
epoch:003 ,particle:02, par err:0.2342, best part err:0.2342, best swarm err:0.1208
epoch:003 ,particle:03, par err:0.4968, best part err:0.4968, best swarm err:0.1208
epoch:003 ,particle:04, par err:0.6130, best part err:0.6130, best swarm err:0.1208
epoch:003 ,particle:05, par err:0.3928, best part err:0.2626, best swarm err:0.1208
epoch:003 ,particle:06, par err:0.4488, best part err:0.4488, best swarm err:0.1208
epoch:003 ,particle:07, par err:0.2354, best part err:0.2354, best swarm err:0.1208
epoch:003 ,particle:08, par err:0.1208, best part err:0.1208, best swarm err:0.1208
epoch:003 ,particle:09, par err:0.1627, best part err:0.1627, best swarm err:0.1208
epoch:003 ,particle:10, par err:0.2069, best part err:0.2069, best swarm err:0.1208
epoch:003 ,particle:11, par err:0.4279, best part err:0.4279, best swarm err:0.1208
epoch:003 ,particle:12, par err:0.7719, best part err:0.7719, best swarm err:0.1208
