Function:Complex
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [2, 7, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.1462, best part err:0.1462, best swarm err:0.1412
epoch:001 ,particle:02, par err:0.1573, best part err:0.1573, best swarm err:0.1412
epoch:001 ,particle:03, par err:0.1556, best part err:0.1556, best swarm err:0.1412
epoch:001 ,particle:04, par err:0.1519, best part err:0.1519, best swarm err:0.1412
epoch:001 ,particle:05, par err:0.1524, best part err:0.1524, best swarm err:0.1412
epoch:001 ,particle:06, par err:0.1480, best part err:0.1480, best swarm err:0.1412
epoch:001 ,particle:07, par err:0.1554, best part err:0.1554, best swarm err:0.1412
epoch:001 ,particle:08, par err:0.1448, best part err:0.1448, best swarm err:0.1412
epoch:001 ,particle:09, par err:0.1412, best part err:0.1412, best swarm err:0.1412
epoch:001 ,particle:10, par err:0.1452, best part err:0.1452, best swarm err:0.1412
epoch:001 ,particle:11, par err:0.1496, best part err:0.1496, best swarm err:0.1412
epoch:001 ,particle:12, par err:0.1580, best part err:0.1580, best swarm err:0.1412
epoch:001 ,particle:13, par err:0.1452, best part err:0.1452, best swarm err:0.1412
epoch:001 ,particle:14, par err:0.1530, best part err:0.1530, best swarm err:0.1412
epoch:001 ,particle:15, par err:0.1543, best part err:0.1543, best swarm err:0.1412

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.1969, best part err:0.1462, best swarm err:0.1361
epoch:002 ,particle:02, par err:0.1496, best part err:0.1496, best swarm err:0.1361
epoch:002 ,particle:03, par err:0.1619, best part err:0.1556, best swarm err:0.1361
epoch:002 ,particle:04, par err:0.2223, best part err:0.1519, best swarm err:0.1361
epoch:002 ,particle:05, par err:0.1453, best part err:0.1453, best swarm err:0.1361
epoch:002 ,particle:06, par err:0.1617, best part err:0.1480, best swarm err:0.1361
epoch:002 ,particle:07, par err:0.1433, best part err:0.1433, best swarm err:0.1361
epoch:002 ,particle:08, par err:0.1616, best part err:0.1448, best swarm err:0.1361
epoch:002 ,particle:09, par err:0.1361, best part err:0.1361, best swarm err:0.1361
epoch:002 ,particle:10, par err:0.1473, best part err:0.1452, best swarm err:0.1361
epoch:002 ,particle:11, par err:0.1463, best part err:0.1463, best swarm err:0.1361
epoch:002 ,particle:12, par err:0.1366, best part err:0.1366, best swarm err:0.1361
epoch:002 ,particle:13, par err:0.1836, best part err:0.1452, best swarm err:0.1361
epoch:002 ,particle:14, par err:0.1562, best part err:0.1530, best swarm err:0.1361
epoch:002 ,particle:15, par err:0.1402, best part err:0.1402, best swarm err:0.1361

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.1842, best part err:0.1462, best swarm err:0.1361
epoch:003 ,particle:02, par err:0.1733, best part err:0.1496, best swarm err:0.1361
epoch:003 ,particle:03, par err:0.1424, best part err:0.1424, best swarm err:0.1361
epoch:003 ,particle:04, par err:0.1689, best part err:0.1519, best swarm err:0.1361
epoch:003 ,particle:05, par err:0.2245, best part err:0.1453, best swarm err:0.1361
epoch:003 ,particle:06, par err:0.3642, best part err:0.1480, best swarm err:0.1361
epoch:003 ,particle:07, par err:0.1866, best part err:0.1433, best swarm err:0.1361
epoch:003 ,particle:08, par err:0.1895, best part err:0.1448, best swarm err:0.1361
epoch:003 ,particle:09, par err:0.1455, best part err:0.1361, best swarm err:0.1361
epoch:003 ,particle:10, par err:0.1656, best part err:0.1452, best swarm err:0.1361
epoch:003 ,particle:11, par err:0.3201, best part err:0.1463, best swarm err:0.1361
epoch:003 ,particle:12, par err:0.2056, best part err:0.1366, best swarm err:0.1361
epoch:003 ,particle:13, par err:0.1903, best part err:0.1452, best swarm err:0.1361
epoch:003 ,particle:14, par err:0.2164, best part err:0.1530, best swarm err:0.1361
epoch:003 ,particle:15, par err:0.1995, best part err:0.1402, best swarm err:0.1361

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.1405, best part err:0.1405, best swarm err:0.1361
epoch:004 ,particle:02, par err:0.1626, best part err:0.1496, best swarm err:0.1361
epoch:004 ,particle:03, par err:0.1371, best part err:0.1371, best swarm err:0.1361
epoch:004 ,particle:04, par err:0.1491, best part err:0.1491, best swarm err:0.1361
epoch:004 ,particle:05, par err:0.1441, best part err:0.1441, best swarm err:0.1361
epoch:004 ,particle:06, par err:0.1607, best part err:0.1480, best swarm err:0.1361
epoch:004 ,particle:07, par err:0.1690, best part err:0.1433, best swarm err:0.1361
epoch:004 ,particle:08, par err:0.1518, best part err:0.1448, best swarm err:0.1361
epoch:004 ,particle:09, par err:0.1423, best part err:0.1361, best swarm err:0.1361
epoch:004 ,particle:10, par err:0.1502, best part err:0.1452, best swarm err:0.1361
epoch:004 ,particle:11, par err:0.1515, best part err:0.1463, best swarm err:0.1361
epoch:004 ,particle:12, par err:0.1659, best part err:0.1366, best swarm err:0.1361
epoch:004 ,particle:13, par err:0.1441, best part err:0.1441, best swarm err:0.1361
epoch:004 ,particle:14, par err:0.1419, best part err:0.1419, best swarm err:0.1361
epoch:004 ,particle:15, par err:0.1465, best part err:0.1402, best swarm err:0.1361

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.3394, best part err:0.1405, best swarm err:0.1361
epoch:005 ,particle:02, par err:0.1555, best part err:0.1496, best swarm err:0.1361
epoch:005 ,particle:03, par err:0.1729, best part err:0.1371, best swarm err:0.1361
epoch:005 ,particle:04, par err:0.4271, best part err:0.1491, best swarm err:0.1361
epoch:005 ,particle:05, par err:0.1571, best part err:0.1441, best swarm err:0.1361
epoch:005 ,particle:06, par err:0.1371, best part err:0.1371, best swarm err:0.1361
epoch:005 ,particle:07, par err:0.1830, best part err:0.1433, best swarm err:0.1361
epoch:005 ,particle:08, par err:0.1363, best part err:0.1363, best swarm err:0.1361
epoch:005 ,particle:09, par err:0.1416, best part err:0.1361, best swarm err:0.1361
epoch:005 ,particle:10, par err:0.1364, best part err:0.1364, best swarm err:0.1361
epoch:005 ,particle:11, par err:0.2855, best part err:0.1463, best swarm err:0.1361
epoch:005 ,particle:12, par err:0.1696, best part err:0.1366, best swarm err:0.1361
epoch:005 ,particle:13, par err:0.3369, best part err:0.1441, best swarm err:0.1361
epoch:005 ,particle:14, par err:0.2539, best part err:0.1419, best swarm err:0.1361
epoch:005 ,particle:15, par err:0.1909, best part err:0.1402, best swarm err:0.1361

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.2126, best part err:0.1405, best swarm err:0.1361
epoch:006 ,particle:02, par err:0.1363, best part err:0.1363, best swarm err:0.1361
epoch:006 ,particle:03, par err:0.1796, best part err:0.1371, best swarm err:0.1361
epoch:006 ,particle:04, par err:0.2276, best part err:0.1491, best swarm err:0.1361
epoch:006 ,particle:05, par err:0.1816, best part err:0.1441, best swarm err:0.1361
epoch:006 ,particle:06, par err:0.2033, best part err:0.1371, best swarm err:0.1361
epoch:006 ,particle:07, par err:0.1373, best part err:0.1373, best swarm err:0.1361
epoch:006 ,particle:08, par err:0.1461, best part err:0.1363, best swarm err:0.1361
epoch:006 ,particle:09, par err:0.1362, best part err:0.1361, best swarm err:0.1361
epoch:006 ,particle:10, par err:0.1658, best part err:0.1364, best swarm err:0.1361
epoch:006 ,particle:11, par err:0.1385, best part err:0.1385, best swarm err:0.1361
epoch:006 ,particle:12, par err:0.1364, best part err:0.1364, best swarm err:0.1361
epoch:006 ,particle:13, par err:0.1436, best part err:0.1436, best swarm err:0.1361
epoch:006 ,particle:14, par err:0.2292, best part err:0.1419, best swarm err:0.1361
epoch:006 ,particle:15, par err:0.1366, best part err:0.1366, best swarm err:0.1361

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.3138, best part err:0.1405, best swarm err:0.1361
epoch:007 ,particle:02, par err:0.1810, best part err:0.1363, best swarm err:0.1361
epoch:007 ,particle:03, par err:0.1488, best part err:0.1371, best swarm err:0.1361
epoch:007 ,particle:04, par err:0.3566, best part err:0.1491, best swarm err:0.1361
epoch:007 ,particle:05, par err:0.1376, best part err:0.1376, best swarm err:0.1361
epoch:007 ,particle:06, par err:0.1654, best part err:0.1371, best swarm err:0.1361
epoch:007 ,particle:07, par err:0.1373, best part err:0.1373, best swarm err:0.1361
epoch:007 ,particle:08, par err:0.1594, best part err:0.1363, best swarm err:0.1361
epoch:007 ,particle:09, par err:0.1398, best part err:0.1361, best swarm err:0.1361
epoch:007 ,particle:10, par err:0.1555, best part err:0.1364, best swarm err:0.1361
epoch:007 ,particle:11, par err:0.1561, best part err:0.1385, best swarm err:0.1361
epoch:007 ,particle:12, par err:0.1474, best part err:0.1364, best swarm err:0.1361
epoch:007 ,particle:13, par err:0.2098, best part err:0.1436, best swarm err:0.1361
epoch:007 ,particle:14, par err:0.2414, best part err:0.1419, best swarm err:0.1361
epoch:007 ,particle:15, par err:0.1643, best part err:0.1366, best swarm err:0.1361

-------------------------------------------------------------------------------------
