Function:Complex
ANN Hyperparameters: activation function Sigmoid, layer arch [2, 1, 1, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.5448, best part err:0.5448, best swarm err:0.5381
epoch:001 ,particle:02, par err:0.5773, best part err:0.5773, best swarm err:0.5381
epoch:001 ,particle:03, par err:0.5708, best part err:0.5708, best swarm err:0.5381
epoch:001 ,particle:04, par err:0.5593, best part err:0.5593, best swarm err:0.5381
epoch:001 ,particle:05, par err:0.5868, best part err:0.5868, best swarm err:0.5381
epoch:001 ,particle:06, par err:0.5381, best part err:0.5381, best swarm err:0.5381
epoch:001 ,particle:07, par err:0.6071, best part err:0.6071, best swarm err:0.5381
epoch:001 ,particle:08, par err:0.5929, best part err:0.5929, best swarm err:0.5381
epoch:001 ,particle:09, par err:0.6021, best part err:0.6021, best swarm err:0.5381
epoch:001 ,particle:10, par err:0.5955, best part err:0.5955, best swarm err:0.5381
epoch:001 ,particle:11, par err:0.6058, best part err:0.6058, best swarm err:0.5381
epoch:001 ,particle:12, par err:0.5711, best part err:0.5711, best swarm err:0.5381
epoch:001 ,particle:13, par err:0.5642, best part err:0.5642, best swarm err:0.5381
epoch:001 ,particle:14, par err:0.5914, best part err:0.5914, best swarm err:0.5381
epoch:001 ,particle:15, par err:0.5463, best part err:0.5463, best swarm err:0.5381

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.5166, best part err:0.5166, best swarm err:0.4693
epoch:002 ,particle:02, par err:0.5352, best part err:0.5352, best swarm err:0.4693
epoch:002 ,particle:03, par err:0.5034, best part err:0.5034, best swarm err:0.4693
epoch:002 ,particle:04, par err:0.4930, best part err:0.4930, best swarm err:0.4693
epoch:002 ,particle:05, par err:0.5296, best part err:0.5296, best swarm err:0.4693
epoch:002 ,particle:06, par err:0.5623, best part err:0.5381, best swarm err:0.4693
epoch:002 ,particle:07, par err:0.4693, best part err:0.4693, best swarm err:0.4693
epoch:002 ,particle:08, par err:0.4889, best part err:0.4889, best swarm err:0.4693
epoch:002 ,particle:09, par err:0.5233, best part err:0.5233, best swarm err:0.4693
epoch:002 ,particle:10, par err:0.4820, best part err:0.4820, best swarm err:0.4693
epoch:002 ,particle:11, par err:0.4926, best part err:0.4926, best swarm err:0.4693
epoch:002 ,particle:12, par err:0.5418, best part err:0.5418, best swarm err:0.4693
epoch:002 ,particle:13, par err:0.5070, best part err:0.5070, best swarm err:0.4693
epoch:002 ,particle:14, par err:0.5335, best part err:0.5335, best swarm err:0.4693
epoch:002 ,particle:15, par err:0.5361, best part err:0.5361, best swarm err:0.4693

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.4211, best part err:0.4211, best swarm err:0.3729
epoch:003 ,particle:02, par err:0.3948, best part err:0.3948, best swarm err:0.3729
epoch:003 ,particle:03, par err:0.4005, best part err:0.4005, best swarm err:0.3729
epoch:003 ,particle:04, par err:0.4095, best part err:0.4095, best swarm err:0.3729
epoch:003 ,particle:05, par err:0.3931, best part err:0.3931, best swarm err:0.3729
epoch:003 ,particle:06, par err:0.4094, best part err:0.4094, best swarm err:0.3729
epoch:003 ,particle:07, par err:0.3729, best part err:0.3729, best swarm err:0.3729
epoch:003 ,particle:08, par err:0.3819, best part err:0.3819, best swarm err:0.3729
epoch:003 ,particle:09, par err:0.3835, best part err:0.3835, best swarm err:0.3729
epoch:003 ,particle:10, par err:0.3807, best part err:0.3807, best swarm err:0.3729
epoch:003 ,particle:11, par err:0.3778, best part err:0.3778, best swarm err:0.3729
epoch:003 ,particle:12, par err:0.4046, best part err:0.4046, best swarm err:0.3729
epoch:003 ,particle:13, par err:0.3958, best part err:0.3958, best swarm err:0.3729
epoch:003 ,particle:14, par err:0.3846, best part err:0.3846, best swarm err:0.3729
epoch:003 ,particle:15, par err:0.4228, best part err:0.4228, best swarm err:0.3729

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.2957, best part err:0.2957, best swarm err:0.2734
epoch:004 ,particle:02, par err:0.2789, best part err:0.2789, best swarm err:0.2734
epoch:004 ,particle:03, par err:0.2916, best part err:0.2916, best swarm err:0.2734
epoch:004 ,particle:04, par err:0.2996, best part err:0.2996, best swarm err:0.2734
epoch:004 ,particle:05, par err:0.2773, best part err:0.2773, best swarm err:0.2734
epoch:004 ,particle:06, par err:0.2759, best part err:0.2759, best swarm err:0.2734
epoch:004 ,particle:07, par err:0.3084, best part err:0.3084, best swarm err:0.2734
epoch:004 ,particle:08, par err:0.3023, best part err:0.3023, best swarm err:0.2734
epoch:004 ,particle:09, par err:0.2762, best part err:0.2762, best swarm err:0.2734
epoch:004 ,particle:10, par err:0.2974, best part err:0.2974, best swarm err:0.2734
epoch:004 ,particle:11, par err:0.2932, best part err:0.2932, best swarm err:0.2734
epoch:004 ,particle:12, par err:0.2734, best part err:0.2734, best swarm err:0.2734
epoch:004 ,particle:13, par err:0.2960, best part err:0.2960, best swarm err:0.2734
epoch:004 ,particle:14, par err:0.2789, best part err:0.2789, best swarm err:0.2734
epoch:004 ,particle:15, par err:0.2881, best part err:0.2881, best swarm err:0.2734

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.2090, best part err:0.2090, best swarm err:0.2078
epoch:005 ,particle:02, par err:0.2174, best part err:0.2174, best swarm err:0.2078
epoch:005 ,particle:03, par err:0.2128, best part err:0.2128, best swarm err:0.2078
epoch:005 ,particle:04, par err:0.2094, best part err:0.2094, best swarm err:0.2078
epoch:005 ,particle:05, par err:0.2142, best part err:0.2142, best swarm err:0.2078
epoch:005 ,particle:06, par err:0.2078, best part err:0.2078, best swarm err:0.2078
epoch:005 ,particle:07, par err:0.2239, best part err:0.2239, best swarm err:0.2078
epoch:005 ,particle:08, par err:0.2217, best part err:0.2217, best swarm err:0.2078
epoch:005 ,particle:09, par err:0.2153, best part err:0.2153, best swarm err:0.2078
epoch:005 ,particle:10, par err:0.2192, best part err:0.2192, best swarm err:0.2078
epoch:005 ,particle:11, par err:0.2193, best part err:0.2193, best swarm err:0.2078
epoch:005 ,particle:12, par err:0.2115, best part err:0.2115, best swarm err:0.2078
epoch:005 ,particle:13, par err:0.2218, best part err:0.2218, best swarm err:0.2078
epoch:005 ,particle:14, par err:0.2203, best part err:0.2203, best swarm err:0.2078
epoch:005 ,particle:15, par err:0.2094, best part err:0.2094, best swarm err:0.2078

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.1737, best part err:0.1737, best swarm err:0.1732
epoch:006 ,particle:02, par err:0.1783, best part err:0.1783, best swarm err:0.1732
epoch:006 ,particle:03, par err:0.1754, best part err:0.1754, best swarm err:0.1732
epoch:006 ,particle:04, par err:0.1736, best part err:0.1736, best swarm err:0.1732
epoch:006 ,particle:05, par err:0.1787, best part err:0.1787, best swarm err:0.1732
epoch:006 ,particle:06, par err:0.1771, best part err:0.1771, best swarm err:0.1732
epoch:006 ,particle:07, par err:0.1732, best part err:0.1732, best swarm err:0.1732
epoch:006 ,particle:08, par err:0.1738, best part err:0.1738, best swarm err:0.1732
epoch:006 ,particle:09, par err:0.1794, best part err:0.1794, best swarm err:0.1732
epoch:006 ,particle:10, par err:0.1754, best part err:0.1754, best swarm err:0.1732
epoch:006 ,particle:11, par err:0.1755, best part err:0.1755, best swarm err:0.1732
epoch:006 ,particle:12, par err:0.1795, best part err:0.1795, best swarm err:0.1732
epoch:006 ,particle:13, par err:0.1752, best part err:0.1752, best swarm err:0.1732
epoch:006 ,particle:14, par err:0.1788, best part err:0.1788, best swarm err:0.1732
epoch:006 ,particle:15, par err:0.1747, best part err:0.1747, best swarm err:0.1732

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.1609, best part err:0.1609, best swarm err:0.1587
epoch:007 ,particle:02, par err:0.1597, best part err:0.1597, best swarm err:0.1587
epoch:007 ,particle:03, par err:0.1601, best part err:0.1601, best swarm err:0.1587
epoch:007 ,particle:04, par err:0.1608, best part err:0.1608, best swarm err:0.1587
epoch:007 ,particle:05, par err:0.1602, best part err:0.1602, best swarm err:0.1587
epoch:007 ,particle:06, par err:0.1610, best part err:0.1610, best swarm err:0.1587
epoch:007 ,particle:07, par err:0.1587, best part err:0.1587, best swarm err:0.1587
epoch:007 ,particle:08, par err:0.1588, best part err:0.1588, best swarm err:0.1587
epoch:007 ,particle:09, par err:0.1606, best part err:0.1606, best swarm err:0.1587
epoch:007 ,particle:10, par err:0.1595, best part err:0.1595, best swarm err:0.1587
epoch:007 ,particle:11, par err:0.1596, best part err:0.1596, best swarm err:0.1587
epoch:007 ,particle:12, par err:0.1607, best part err:0.1607, best swarm err:0.1587
epoch:007 ,particle:13, par err:0.1591, best part err:0.1591, best swarm err:0.1587
epoch:007 ,particle:14, par err:0.1599, best part err:0.1599, best swarm err:0.1587
epoch:007 ,particle:15, par err:0.1604, best part err:0.1604, best swarm err:0.1587

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.1544, best part err:0.1544, best swarm err:0.1539
