Function:Cubic
ANN Hyperparameters: activation function Sigmoid, layer arch [1, 1, 1, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.4164, best part err:0.4164, best swarm err:0.3733
epoch:001 ,particle:02, par err:0.3823, best part err:0.3823, best swarm err:0.3733
epoch:001 ,particle:03, par err:0.4296, best part err:0.4296, best swarm err:0.3733
epoch:001 ,particle:04, par err:0.3776, best part err:0.3776, best swarm err:0.3733
epoch:001 ,particle:05, par err:0.4316, best part err:0.4316, best swarm err:0.3733
epoch:001 ,particle:06, par err:0.3867, best part err:0.3867, best swarm err:0.3733
epoch:001 ,particle:07, par err:0.4196, best part err:0.4196, best swarm err:0.3733
epoch:001 ,particle:08, par err:0.3948, best part err:0.3948, best swarm err:0.3733
epoch:001 ,particle:09, par err:0.4326, best part err:0.4326, best swarm err:0.3733
epoch:001 ,particle:10, par err:0.4064, best part err:0.4064, best swarm err:0.3733
epoch:001 ,particle:11, par err:0.3873, best part err:0.3873, best swarm err:0.3733
epoch:001 ,particle:12, par err:0.4143, best part err:0.4143, best swarm err:0.3733
epoch:001 ,particle:13, par err:0.3733, best part err:0.3733, best swarm err:0.3733
epoch:001 ,particle:14, par err:0.4155, best part err:0.4155, best swarm err:0.3733
epoch:001 ,particle:15, par err:0.4186, best part err:0.4186, best swarm err:0.3733

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.3343, best part err:0.3343, best swarm err:0.3343
epoch:002 ,particle:02, par err:0.3835, best part err:0.3823, best swarm err:0.3343
epoch:002 ,particle:03, par err:0.3611, best part err:0.3611, best swarm err:0.3343
epoch:002 ,particle:04, par err:0.3510, best part err:0.3510, best swarm err:0.3343
epoch:002 ,particle:05, par err:0.3556, best part err:0.3556, best swarm err:0.3343
epoch:002 ,particle:06, par err:0.3887, best part err:0.3867, best swarm err:0.3343
epoch:002 ,particle:07, par err:0.3346, best part err:0.3346, best swarm err:0.3343
epoch:002 ,particle:08, par err:0.3672, best part err:0.3672, best swarm err:0.3343
epoch:002 ,particle:09, par err:0.3606, best part err:0.3606, best swarm err:0.3343
epoch:002 ,particle:10, par err:0.3675, best part err:0.3675, best swarm err:0.3343
epoch:002 ,particle:11, par err:0.3776, best part err:0.3776, best swarm err:0.3343
epoch:002 ,particle:12, par err:0.3452, best part err:0.3452, best swarm err:0.3343
epoch:002 ,particle:13, par err:0.3526, best part err:0.3526, best swarm err:0.3343
epoch:002 ,particle:14, par err:0.3509, best part err:0.3509, best swarm err:0.3343
epoch:002 ,particle:15, par err:0.3399, best part err:0.3399, best swarm err:0.3343

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.2631, best part err:0.2631, best swarm err:0.2596
epoch:003 ,particle:02, par err:0.3101, best part err:0.3101, best swarm err:0.2596
epoch:003 ,particle:03, par err:0.2695, best part err:0.2695, best swarm err:0.2596
epoch:003 ,particle:04, par err:0.2982, best part err:0.2982, best swarm err:0.2596
epoch:003 ,particle:05, par err:0.2664, best part err:0.2664, best swarm err:0.2596
epoch:003 ,particle:06, par err:0.3014, best part err:0.3014, best swarm err:0.2596
epoch:003 ,particle:07, par err:0.2646, best part err:0.2646, best swarm err:0.2596
epoch:003 ,particle:08, par err:0.2891, best part err:0.2891, best swarm err:0.2596
epoch:003 ,particle:09, par err:0.2696, best part err:0.2696, best swarm err:0.2596
epoch:003 ,particle:10, par err:0.2868, best part err:0.2868, best swarm err:0.2596
epoch:003 ,particle:11, par err:0.3017, best part err:0.3017, best swarm err:0.2596
epoch:003 ,particle:12, par err:0.2727, best part err:0.2727, best swarm err:0.2596
epoch:003 ,particle:13, par err:0.3058, best part err:0.3058, best swarm err:0.2596
epoch:003 ,particle:14, par err:0.2651, best part err:0.2651, best swarm err:0.2596
epoch:003 ,particle:15, par err:0.2596, best part err:0.2596, best swarm err:0.2596

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.2047, best part err:0.2047, best swarm err:0.1865
epoch:004 ,particle:02, par err:0.1947, best part err:0.1947, best swarm err:0.1865
epoch:004 ,particle:03, par err:0.1885, best part err:0.1885, best swarm err:0.1865
epoch:004 ,particle:04, par err:0.1994, best part err:0.1994, best swarm err:0.1865
epoch:004 ,particle:05, par err:0.1943, best part err:0.1943, best swarm err:0.1865
epoch:004 ,particle:06, par err:0.1865, best part err:0.1865, best swarm err:0.1865
epoch:004 ,particle:07, par err:0.2029, best part err:0.2029, best swarm err:0.1865
epoch:004 ,particle:08, par err:0.1916, best part err:0.1916, best swarm err:0.1865
epoch:004 ,particle:09, par err:0.1881, best part err:0.1881, best swarm err:0.1865
epoch:004 ,particle:10, par err:0.1887, best part err:0.1887, best swarm err:0.1865
epoch:004 ,particle:11, par err:0.1912, best part err:0.1912, best swarm err:0.1865
epoch:004 ,particle:12, par err:0.1981, best part err:0.1981, best swarm err:0.1865
epoch:004 ,particle:13, par err:0.2005, best part err:0.2005, best swarm err:0.1865
epoch:004 ,particle:14, par err:0.1965, best part err:0.1965, best swarm err:0.1865
epoch:004 ,particle:15, par err:0.2038, best part err:0.2038, best swarm err:0.1865

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.1566, best part err:0.1566, best swarm err:0.1456
epoch:005 ,particle:02, par err:0.1456, best part err:0.1456, best swarm err:0.1456
epoch:005 ,particle:03, par err:0.1518, best part err:0.1518, best swarm err:0.1456
epoch:005 ,particle:04, par err:0.1522, best part err:0.1522, best swarm err:0.1456
epoch:005 ,particle:05, par err:0.1519, best part err:0.1519, best swarm err:0.1456
epoch:005 ,particle:06, par err:0.1461, best part err:0.1461, best swarm err:0.1456
epoch:005 ,particle:07, par err:0.1571, best part err:0.1571, best swarm err:0.1456
epoch:005 ,particle:08, par err:0.1518, best part err:0.1518, best swarm err:0.1456
epoch:005 ,particle:09, par err:0.1527, best part err:0.1527, best swarm err:0.1456
epoch:005 ,particle:10, par err:0.1504, best part err:0.1504, best swarm err:0.1456
epoch:005 ,particle:11, par err:0.1485, best part err:0.1485, best swarm err:0.1456
epoch:005 ,particle:12, par err:0.1530, best part err:0.1530, best swarm err:0.1456
epoch:005 ,particle:13, par err:0.1481, best part err:0.1481, best swarm err:0.1456
epoch:005 ,particle:14, par err:0.1563, best part err:0.1563, best swarm err:0.1456
epoch:005 ,particle:15, par err:0.1580, best part err:0.1580, best swarm err:0.1456

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.1435, best part err:0.1435, best swarm err:0.1407
epoch:006 ,particle:02, par err:0.1407, best part err:0.1407, best swarm err:0.1407
epoch:006 ,particle:03, par err:0.1426, best part err:0.1426, best swarm err:0.1407
epoch:006 ,particle:04, par err:0.1438, best part err:0.1438, best swarm err:0.1407
epoch:006 ,particle:05, par err:0.1430, best part err:0.1430, best swarm err:0.1407
epoch:006 ,particle:06, par err:0.1408, best part err:0.1408, best swarm err:0.1407
epoch:006 ,particle:07, par err:0.1433, best part err:0.1433, best swarm err:0.1407
epoch:006 ,particle:08, par err:0.1425, best part err:0.1425, best swarm err:0.1407
epoch:006 ,particle:09, par err:0.1431, best part err:0.1431, best swarm err:0.1407
epoch:006 ,particle:10, par err:0.1433, best part err:0.1433, best swarm err:0.1407
epoch:006 ,particle:11, par err:0.1426, best part err:0.1426, best swarm err:0.1407
epoch:006 ,particle:12, par err:0.1426, best part err:0.1426, best swarm err:0.1407
epoch:006 ,particle:13, par err:0.1430, best part err:0.1430, best swarm err:0.1407
epoch:006 ,particle:14, par err:0.1428, best part err:0.1428, best swarm err:0.1407
epoch:006 ,particle:15, par err:0.1421, best part err:0.1421, best swarm err:0.1407

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.1431, best part err:0.1431, best swarm err:0.1407
epoch:007 ,particle:02, par err:0.1424, best part err:0.1407, best swarm err:0.1407
epoch:007 ,particle:03, par err:0.1433, best part err:0.1426, best swarm err:0.1407
epoch:007 ,particle:04, par err:0.1418, best part err:0.1418, best swarm err:0.1407
epoch:007 ,particle:05, par err:0.1440, best part err:0.1430, best swarm err:0.1407
epoch:007 ,particle:06, par err:0.1428, best part err:0.1408, best swarm err:0.1407
epoch:007 ,particle:07, par err:0.1427, best part err:0.1427, best swarm err:0.1407
epoch:007 ,particle:08, par err:0.1418, best part err:0.1418, best swarm err:0.1407
epoch:007 ,particle:09, par err:0.1430, best part err:0.1430, best swarm err:0.1407
epoch:007 ,particle:10, par err:0.1425, best part err:0.1425, best swarm err:0.1407
epoch:007 ,particle:11, par err:0.1422, best part err:0.1422, best swarm err:0.1407
epoch:007 ,particle:12, par err:0.1430, best part err:0.1426, best swarm err:0.1407
epoch:007 ,particle:13, par err:0.1427, best part err:0.1427, best swarm err:0.1407
epoch:007 ,particle:14, par err:0.1425, best part err:0.1425, best swarm err:0.1407
epoch:007 ,particle:15, par err:0.1426, best part err:0.1421, best swarm err:0.1407

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.1390, best part err:0.1390, best swarm err:0.1382
